MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,TW91356,Couplings,INNOLUX CORPORATION,SFC-040DA2-9B-18B,FG,4,PCS,612,,2448,122,2570,0,NO.11,2448,100,0,0,0,0,0,X0104,,2021-11-30,8000,Trading company,1100,Semiconductor making equipment
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127730700,Couplings,GALLANT MICRO. MACHINING CO. LTD,SFC-040SA2-10B-14B,FG,1,PCS,439,,439,22,461,0,NO.9,439,100,0,0,0,0,0,X0165,,2021-12-07,8000,Trading company,1100,Semiconductor making equipment
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127732300,Couplings,JUN HOW PRECISION CO. LTD.,SFC-040SA2-15B-15B,FG,4,PCS,439,,1756,88,1844,0,NO.11,1756,100,0,0,0,0,0,X0136,,2021-12-03,8000,Trading company,1100,Semiconductor making equipment
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127733000,Couplings,GALLANT MICRO. MACHINING CO. LTD,SFC-050DA2-10B-19B,FG,2,PCS,891,,1782,93,1875,0,NO.8,1782,100,0,0,0,0,0,X0165,,2021-12-07,8000,Trading company,1100,Semiconductor making equipment
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127733900,Couplings,TOP WORK INDUSTRY Co. Ltd.,SFC-050DA2-14B-18B,FG,4,PCS,891,,3564,178,3742,0,NO.9,3564,100,0,0,0,0,0,X0141,,2021-12-02,8000,Trading company,1000,Machine tool
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127734700,Couplings,JOEN LIH MACHINERY CO. LTD,SFC-050DA2-15B-24B,FG,30,PCS,891,,26730,1336,28066,0,NO.10*10/NO.11*20,26730,100,0,0,0,0,0,X0091,,2021-12-02,8000,Trading company,1000,Machine tool
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127736200,Couplings,CHU LUN MACHINERY INDUSTRIAL CORP,SFC-050DA2-20B-22B,FG,10,PCS,891,,8910,445,9355,0,NO.9,8910,100,0,0,0,0,0,X0039,,2021-12-03,8000,Trading company,9000,The others
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127736300,Couplings,JOEN LIH MACHINERY CO. LTD,SFC-050DA2-20B-24B,FG,30,PCS,891,,26730,1336,28066,0,NO.10,26730,100,0,0,0,0,0,X0091,,2021-12-02,8000,Trading company,1000,Machine tool
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127737400,Couplings,TA LIANG TECHNOLOGY CO. LTD.,SFC-050SA2-12B-19B,FG,54,PCS,594,,32076,1604,33680,0,NO.1,21738.309,67.77125889,10337.691,10337.691,0,0,0,X0124,,2021-11-16,8000,Trading company,1100,Semiconductor making equipment
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127737800,Couplings,WIVIA,SFC-050SA2-14B-14B,FG,22,PCS,594,,13068,653,13721,0,NO.9,13068,100,0,0,0,0,0,X0779,,2021-12-02,8000,Trading company,,
