MPTW,1,OUT,2021-11-26,A02,250200,Banmann,2022-01-06,A0030,ACE PILLER,104966400,ZG-14,2,PCS,13.1,002,727,TUNG HO STEE,8000,Trading company
MPTW,1,OUT,2021-11-26,A02,310700,Index Handle,2021-12-06,A0030,ACE PILLER,033000700,SD-53B-25L,2,PCS,14.2,002,788,CALENDER MAC,8000,Trading company
MPTW,1,IN,2021-11-26,A01,120101,Micro BXW,2022-02-12,A0004,MPHK,130861600,BXW-02-10-24,180,PCS,19.6,002,97884,,0,
MPTW,1,IN,2021-11-26,A01,120101,Micro BXW,2022-02-12,A0004,MPHK,130748300,BXW-03-10MP-90V,180,PCS,19.6,002,97884,,0,
MPTW,1,IN,2021-11-26,A01,120101,Micro BXW,2022-02-12,A0004,MPHK,130872500,BXW-04-10MP-05-90V,300,PCS,21.4,002,178123,,0,
MPTW,1,OUT,2021-11-26,A02,260200,Posi-Lock,2022-01-07,A0030,ACE PILLER,123148200,PSL-G-35-C,2,PCS,28,002,1554,CORNING DISP,8000,Trading company
MPTW,1,OUT,2021-11-26,A02,140104,STD BXH,2021-12-02,A0030,ACE PILLER,121807300,BXH-10-10G 90V 19DIN,1,PCS,64.6,002,1791,FALCON MACHI,8000,Trading company
MPTW,1,OUT,2021-11-26,A02,130100,STD CB,2022-01-07,A0030,ACE PILLER,TW91739,CS-12-35G 24V R25 DIN A25 DIN (TPI) MPTJ,1,PCS,104.24,002,2891,tena,8000,Trading company
MPTW,1,OUT,2021-11-26,A02,290200,Schmidt,2021-12-27,A0030,ACE PILLER,108342000,NSS 7.7.9,1,PCS,385.6,002,10693,CST PRECISIO,8000,Trading company
MPTW,1,OUT,2021-11-26,A02,230100,Servoflex SFC,2021-12-02,A0030,ACE PILLER,127729800,SFC-040DA2-15B-20B,2,PCS,612,,1224,CST PRECISIO,8000,Trading company
MPTW,1,OUT,2021-11-26,A02,230100,Servoflex SFC,2022-01-06,A0030,ACE PILLER,127715100,SFC-010SA2-4.5B-8B,180,PCS,304,,54720,Hermes-Epite,8000,Trading company
MPTW,1,OUT,2021-11-26,A02,230100,Servoflex SFC,2021-12-03,A0030,ACE PILLER,127908200,SFC-035SA2-15B-16B,2,PCS,370,,740,HAI TIE KE A,8000,Trading company
MPTW,1,OUT,2021-11-26,A02,230100,Servoflex SFC,2021-12-24,A0030,ACE PILLER,127750700,SFC-080SA2-25B-35B,30,PCS,807,,24210,WELE MECHATR,8000,Trading company
MPTW,1,OUT,2021-11-26,A02,230100,Servoflex SFC,2021-12-10,A0030,ACE PILLER,127750700,SFC-080SA2-25B-35B,60,PCS,807,,48420,WELE MECHATR,8000,Trading company
