MPTW,3,OUT,Belt Type Speed Drive,ACE PILLER,A0030,310100,UT92673665,2021-11-18,SA21B18003,皮帶式無段變速機組件,TW90811,Belt Type Speed Drive,LI CHANG Electrical shop,AK-155-MA-24N,Goods,1,PCS,52.63,002,1464,73,1537,52.63,,165.288,11.29016393,1298.712,1298.712,0,0,0,X0975,MIKI PULLEY(TIANJIN)CO.LTD.,2021-10-21,8000,Trading company,,
MPTW,3,OUT,Belt Type Speed Drive,ACE PILLER,A0030,310100,UT92673665,2021-11-18,SA21B18003,單式可變節圓帶輪,TW90888,Belt Type Speed Drive,Bing Yi,AP-124-MA 22MM,Goods,2,PCS,62.75,002,3491,175,3666,125.5,,394.964,11.31377829,3096.036,3096.036,0,0,0,X1232,MIKI PULLEY(TIANJIN)CO.LTD.,2021-10-21,8000,Trading company,,
MPTW,3,OUT,STD BXR,DELTA,A0031,140102,IN21110101,2021-11-02,SA21B02002,?車器,127865800,Brakes,,BXR-10-10-A-53,Goods,400,PCS,3870,001,382666,0,382666,1548000,,56332.5,14.72106223,326333.5,326333.5,0,0,0,,MIKI PULLEY CO.LTD,2021-05-17,0100,Motor,,
MPTW,3,OUT,STD BXR,DELTA,A0031,140102,IN21110101,2021-11-02,SA21B02002,?車器,127865800,Brakes,,BXR-10-10-A-53,Goods,400,PCS,3870,001,382666,0,382666,1548000,,56332.5,14.72106223,326333.5,326333.5,0,0,0,,MIKI PULLEY CO.LTD,2021-05-17,0100,Motor,,
MPTW,3,OUT,STD BXR,DELTA,A0031,140102,IN21110101,2021-11-02,SA21B02002,?車器,127865800,Brakes,,BXR-10-10-A-53,Goods,400,PCS,3870,001,382666,0,382666,1548000,,56332.5,14.72106223,326333.5,326333.5,0,0,0,,MIKI PULLEY CO.LTD,2021-05-17,0100,Motor,,
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673651,2021-11-03,SA21B03002,?六角螺絲,127787500,Hexagon socket head cap screw,,M6X11 10.9 SFC-060DA2,Raw Mater,4,PCS,0,,0,0,0,0,,-6.423,0,6.423,6.423,0,0,0,,MIKI PULLEY CO.LTD,0000-00-00,8000,Trading company,,
MPTW,3,OUT,Other Couplings,ACE PILLER,A0030,290900,UT92673655,2021-11-04,SA21B04001,聯軸器,071080100,Couplings,ZIQIANG,AL-070,Goods,5,PCS,4,002,556,28,584,20,匯率:27.81,208.073,37.42320144,347.927,347.927,0,0,0,X0820,MIKI PULLEY CO.LTD,2021-10-21,8000,Trading company,,
MPTW,3,OUT,STD BXH,ACE PILLER,A0030,140104,UT92673655,2021-11-04,SA21B04001,?車器,121900300,Brakes,INNOLUX CORPORATION,BXH-06-10G 24V 11DIN,Goods,1,PCS,41.6,002,1157,58,1215,41.6,USD 1335.60,191.64,16.56352636,965.36,965.36,0,0,0,X0104,MIKI PULLEY CO.LTD,2021-10-14,8000,Trading company,1100,Semiconductor making equipment
MPTW,3,OUT,Banmann,ACE PILLER,A0030,250200,UT92673655,2021-11-04,SA21B04001,聯軸器,104949200,BAUMANNFLEX Coupling,hsinyin,MM-19K,Goods,2,PCS,52,002,2892,145,3037,104,,892.096,30.84702628,1999.904,1999.904,0,0,0,X0639,MIKI PULLEY CO.LTD,2021-10-21,8000,Trading company,,
MPTW,3,OUT,Banmann,ACE PILLER,A0030,250200,UT92673655,2021-11-04,SA21B04001,聯軸器,104949500,BAUMANNFLEX Coupling,hsinyin,MM-20K,Goods,3,PCS,64.4,002,5373,269,5642,193.2,,1480.76,27.55927787,3892.24,3892.24,0,0,0,X0639,MIKI PULLEY CO.LTD,2021-10-21,8000,Trading company,,
