24.11.2021,2,2401580,ALS-055 Vorgebohrt,10781,2,2202,15.12.2021,"29.00","71.80",30210,Bianchi Industrial SpA,"58.00","143.60",A,80,MPEU,1
10.11.2021,1,2401580,ALS-055-R-EL-P,10720,1,2202,15.12.2021,"190.00","309.00",30210,Bianchi Industrial SpA,"190.00","309.00",A,80,MPEU,1
24.11.2021,1,2401580,ALS-055-14B Klemmnabe,10781,1,2202,15.12.2021,"61.00","133.50",30210,Bianchi Industrial SpA,"61.00","133.50",A,80,MPEU,1
24.11.2021,2,2401580,ALS-055-16B Klemmnabe,10781,2,2202,15.12.2021,"61.00","133.50",30210,Bianchi Industrial SpA,"122.00","267.00",A,80,MPEU,1
24.11.2021,1,2401580,ALS-055-20B Klemmnabe,10781,1,2202,15.12.2021,"61.00","133.50",30210,Bianchi Industrial SpA,"61.00","133.50",A,80,MPEU,1
24.11.2021,2,2401580,ALS-055-24B Klemmnabe,10781,2,2202,15.12.2021,"61.00","133.50",30210,Bianchi Industrial SpA,"122.00","267.00",A,80,MPEU,1
24.11.2021,2,2401580,ALS-055-25B Klemmnabe,10781,2,2202,15.12.2021,"61.00","133.50",30210,Bianchi Industrial SpA,"122.00","267.00",A,80,MPEU,1
24.11.2021,1,2401580,ALS-065 Vorgebohrt,10781,1,2202,15.12.2021,"46.00","102.30",30210,Bianchi Industrial SpA,"46.00","102.30",A,80,MPEU,1
24.11.2021,7,2401580,ALS-080 Vorgebohrt,10781,7,2202,15.12.2021,"59.20","150.88",30210,Bianchi Industrial SpA,"414.40","1056.16",A,80,MPEU,1
24.11.2021,1,2401580,ALS-080-R-EL-P,10720,1,2202,15.12.2021,"116.00","220.40",30210,Bianchi Industrial SpA,"116.00","220.40",A,80,MPEU,1
10.11.2021,1,2401580,ALS-080-40B Klemmnabe,10781,1,2202,15.12.2021,"131.20","208.14",30210,Bianchi Industrial SpA,"131.20","208.14",A,80,MPEU,1
