MPHK,2,2021-05-24,2022-01-11,2021-08-31,OUT,SINGHUAT-C,8000,126286300,BXW-01-10-27,2000,USD,13.9,7.753,215533.4,0,1201,MPTW,OUT,K&S,1100,
MPHK,2,2021-07-19,2022-01-11,2021-10-15,OUT,SINGHUAT-C,8000,126286300,BXW-01-10-27,4000,USD,13.9,7.753,431066.8,0,1201,MPTW,OUT,K&S,1100,
MPHK,2,2021-08-13,2022-01-11,2021-11-05,OUT,ELEMATEC-C,8000,126455500,BXW-03-10MP-45V,60,USD,23.9,7.753,11117.8,0,1201,MPTW,OUT,,,
MPHK,2,2021-08-23,2022-01-11,2021-11-12,OUT,ELEMATEC-C,8000,126455600,BXW-03-10MP-90V,120,USD,24.9,7.753,23165.96,0,1201,MPTW,OUT,,,
MPHK,2,2021-08-25,2022-01-11,2021-12-15,OUT,SINGHUAT-C,8000,126286300,BXW-01-10-27,2500,USD,13.9,7.753,269416.75,0,1201,MPTW,OUT,K&S,1100,
MPHK,2,2021-08-30,2022-01-11,2021-11-26,OUT,ELEMATEC-C,8000,126455600,BXW-03-10MP-90V,60,USD,24.9,7.753,11582.98,0,1201,MPTW,OUT,,,
MPHK,2,2021-09-06,2022-01-11,2021-12-07,OUT,ELEMATEC-C,8000,126455500,BXW-03-10MP-45V,60,USD,23.9,7.753,11117.8,0,1201,MPTW,OUT,,,
MPHK,2,2021-09-06,2022-01-11,2021-12-07,OUT,ELEMATEC-C,8000,126455600,BXW-03-10MP-90V,60,USD,24.9,7.753,11582.98,0,1201,MPTW,OUT,,,
MPHK,2,2021-09-10,2022-01-11,2022-01-13,OUT,SAKURA-C,8000,128256900,CPG-030-T010B (SLIDER) New(DWG: GT-KCP-G503-B),800,USD,1.1,7.8,6864,0,2901,MULTIPLE,OUT,NIKON,0100,
MPHK,2,2021-09-10,2022-01-11,2022-01-13,OUT,SAKURA-C,8000,128256900,CPG-030-T010B (SLIDER) New(DWG: GT-KCP-G503-B),7195,USD,1.1,7.8,61733.1,0,2901,MULTIPLE,OUT,NIKON,0100,
MPHK,2,2021-09-10,2022-01-11,2022-01-13,OUT,SAKURA-C,8000,128256900,CPG-030-T010B (SLIDER) New(DWG: GT-KCP-G503-B),5,USD,1.1,7.8,42.9,0,2901,MULTIPLE,OUT,NIKON,0100,
MPHK,2,2021-09-10,2022-01-11,2022-01-13,OUT,SAKURA-C,8000,127646500,CPG-030-T010A (HUB)(DWG: GT-KCP-G501),13975,USD,2.2,7.8,239811,0,2901,MULTIPLE,OUT,NIKON,0100,
MPHK,2,2021-09-10,2022-01-11,2022-01-13,OUT,SAKURA-C,8000,127646500,CPG-030-T010A (HUB)(DWG: GT-KCP-G501),2025,USD,2.2,7.8,34749,0,2901,MULTIPLE,OUT,NIKON,0100,
MPHK,2,2021-09-24,2022-01-11,2021-11-26,OUT,ELEMATEC-C,8000,126455200,BXW-02-10MP-45V,60,USD,23,7.753,10699.14,0,1201,MPTW,OUT,,,
MPHK,2,2021-09-24,2022-01-11,2021-11-26,OUT,ELEMATEC-C,8000,126455200,BXW-02-10MP-45V,180,USD,23,7.753,32097.42,0,1201,MPTW,OUT,,,
MPHK,2,2021-09-24,2022-01-11,2021-12-24,OUT,ELEMATEC-C,8000,126455600,BXW-03-10MP-90V,60,USD,24.9,7.753,11582.98,0,1201,MPTW,OUT,,,
MPHK,2,2021-09-24,2022-01-11,2021-12-24,OUT,ELEMATEC-C,8000,126455600,BXW-03-10MP-90V,60,USD,24.9,7.753,11582.98,0,1201,MPTW,OUT,,,
MPHK,2,2021-09-24,2022-01-11,2021-12-24,OUT,ELEMATEC-C,8000,126455800,BXW-04-10MP-03-90V,240,USD,26.2,7.753,48750.86,0,1201,MPTW,OUT,,,
MPHK,2,2021-09-24,2022-01-11,2021-12-24,OUT,ELEMATEC-C,8000,126455400,BXW-02-10MP-90V,60,USD,24,7.753,11164.32,0,1201,MPTW,OUT,,,
