MPTW,1,OUT,2021-11-23,A02,220201,ALS-AL,2021-12-23,0000-00-00,ACE PILLER,TW93109,ALS-080ARN-30BHA-32BHA,1,PCS,1339,,1339,SHENQ FANG Y,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,250200,Banmann,2022-01-18,0000-00-00,ACE PILLER,104949500,MM-20K,1,PCS,64.4,002,1786,hsinyin,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,210100,Centaflex,2021-12-22,0000-00-00,ACE PILLER,104242100,CF-X-002-OB,9,PCS,15.9,002,3968,Acelon Chemi,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,310700,Index Handle,2022-01-18,0000-00-00,ACE PILLER,033029300,SD-75B-64R,2,PCS,17.1,002,948,hsinyin,8000,Trading company
MPTW,1,IN,2021-11-23,A01,120101,Micro BXW,2022-01-13,0000-00-00,MPSH,130876700,BXW-02-12-55,200,PCS,19,002,105374,,0,
MPTW,1,OUT,2021-11-23,A02,120101,Micro BXW,2022-02-02,0000-00-00,DELTA,TW90989,BXW-03-10-116,500,PCS,2150,001,260043,,100,Motor
MPTW,1,OUT,2021-11-23,A02,120101,Micro BXW,2022-03-02,0000-00-00,DELTA,TW90989,BXW-03-10-116,500,PCS,2150,001,260043,,100,Motor
MPTW,1,OUT,2021-11-23,A02,120101,Micro BXW,2022-04-02,0000-00-00,DELTA,TW90989,BXW-03-10-116,500,PCS,2150,001,260043,,100,Motor
MPTW,1,OUT,2021-11-23,A02,260200,Posi-Lock,2021-12-24,0000-00-00,ACE PILLER,123158100,PSL-K-10-F,1,PCS,47.9,002,1328,CORNING DISP,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,140102,STD BXR,2022-02-02,0000-00-00,DELTA,TW90160,BXR-08-10-A-54,100,PCS,3880,001,93857,,100,Motor
MPTW,1,OUT,2021-11-23,A02,140102,STD BXR,2022-02-02,0000-00-00,DELTA,TW90160,BXR-08-10-A-54,100,PCS,3880,001,93857,,100,Motor
MPTW,1,OUT,2021-11-23,A02,140102,STD BXR,2022-03-02,0000-00-00,DELTA,TW90160,BXR-08-10-A-54,100,PCS,3880,001,93857,,100,Motor
MPTW,1,OUT,2021-11-23,A02,130100,STD CB,2022-01-20,0000-00-00,ACE PILLER,TW90835,111-12-13G 24V N14,2,PCS,58.53,002,3246,COSMO MACHIN,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,130100,STD CB,2022-01-05,0000-00-00,ACE PILLER,TW92654,101-06-13G 24V 12JIS,1,PCS,28.55,002,792,Chuan Lih Fa,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,130100,STD CB,2022-01-14,0000-00-00,ACE PILLER,123671100,CS-16-33HG 24V 30JIS,10,PCS,190.1,002,52715,SETEK Techno,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,230100,Servoflex SFC,2021-12-02,0000-00-00,ACE PILLER,127730700,SFC-040SA2-10B-14B,2,PCS,439,,878,JAINNHER MAC,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,230100,Servoflex SFC,2021-12-02,0000-00-00,ACE PILLER,127747400,SFC-080DA2-22B-35B,1,PCS,1199,,1199,JIH-I MACHIN,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,230100,Servoflex SFC,2021-11-26,0000-00-00,ACE PILLER,127754000,SFC-090SA2-35B-35B,6,PCS,1180,,7080,FACTORY AUTO,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,230100,Servoflex SFC,2021-12-16,0000-00-00,ACE PILLER,127740200,SFC-050SA2-20B-20B,4,PCS,594,,2376,TERA AUTOTEC,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,230100,Servoflex SFC,2021-12-16,0000-00-00,ACE PILLER,127733700,SFC-050DA2-14B-16B,2,PCS,891,,1782,WELLSUN PREC,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,230100,Servoflex SFC,2021-11-26,0000-00-00,ACE PILLER,127719200,SFC-020SA2-8B-8B,1,PCS,293,,293,WELLSUN PREC,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,230100,Servoflex SFC,2021-11-26,0000-00-00,ACE PILLER,127747100,SFC-080DA2-22B-24B,5,PCS,1141,,5705,Chi-Fa MACHI,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,230100,Servoflex SFC,2021-12-02,0000-00-00,ACE PILLER,TW90746,SFC-040SA2-8B-14BH,10,PCS,539,,5390,YOU SHUN INT,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,230100,Servoflex SFC,2021-11-25,0000-00-00,ACE PILLER,TW93068,SFC-060SA2-12BH-17BH,2,PCS,1094,,2188,Hermes-Epite,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,230100,Servoflex SFC,2021-11-25,0000-00-00,ACE PILLER,127722000,SFC-030SA2-10B-12B,5,PCS,324,,1620,KAI HUNG MAC,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,230100,Servoflex SFC,2021-11-25,0000-00-00,ACE PILLER,127915100,SFC-060SA2-18B-16BC,2,PCS,820,,1640,LEADWELL CNC,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,230200,Servoflex SFS/SFF/SFM/SFH,2022-01-06,0000-00-00,ACE PILLER,104580300,SFS-06S-17H-25H,2,PCS,74.3,002,4121,HannsTouch S,8000,Trading company
MPTW,1,OUT,2021-11-23,A02,230200,Servoflex SFS/SFF/SFM/SFH,2022-01-06,0000-00-00,ACE PILLER,104636000,SFS-09S-19H-20H,2,PCS,86.7,002,4808,HannsTouch S,8000,Trading company
