MPIN,2,'2021/12/10,'2021/08/10,OUT,ACE DESIGNERS LIMITED,10 - Machine tool,,SFC-050DA2-20B-16BC-C,100,INR,1965,1288.71,2301,MPIN,OUT,,
MPIN,2,'2021/12/10,'2021/07/15,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-010DA2-PILOT BORE DIA 6 (JINDAL),500,INR,0.67,46.41,2301,MPIN,OUT,,
MPIN,2,'2021/12/10,'2021/07/15,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-050DA2-BW PILOT BORE DIA 6 (JINDAL),1000,INR,2.17,149.49,2301,MPIN,OUT,,
MPIN,2,'2021/12/10,'2021/07/15,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,Clamping Hub SFC-080DA2 Pilot Bore,2000,INR,5.58,385.25,2301,MPIN,OUT,,
MPIN,2,'2021/12/10,'2021/07/15,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,Clamping Hub SFC-090DA2 Pilot Bore,500,INR,7.26,500.82,2301,MPIN,OUT,,
MPIN,2,'2021/12/10,'2021/07/15,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,SPACER SFC-035DA2-BW-11L (JINDAL),2000,INR,0.9,61.81,2301,MPIN,OUT,,
MPIN,2,'2021/12/10,'2021/05/01,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-060DA2-BW PILOT BORE DIA 9 T400 (JINDAL),468,INR,3.91,230.45,2301,MPIN,OUT,,
MPIN,2,'2021/12/10,'2021/04/30,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,SPACER SFC-060DA2-BW-16.5L (JINDAL),440,INR,2.61,179.98,2301,MPIN,OUT,,
MPIN,2,'2021/12/10,'2021/08/09,OUT,ACE DESIGNERS LIMITED,10 - Machine tool,,SFC-050DA2-20B-16BC-C,450,INR,1965,1288.71,2301,MPIN,OUT,,
MPIN,2,'2021/12/10,'2021/08/16,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-010DA2-PILOT BORE DIA 6 (JINDAL),778,INR,0.67,46.41,2301,MPIN,OUT,,
MPIN,2,'2021/12/10,'2021/08/16,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-040DA2-BW PILOT BORE DIA 6 (JINDAL),1000,INR,1.32,78.55,2301,MPIN,OUT,,
MPIN,2,'2021/12/10,'2021/08/16,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-050DA2-BW PILOT BORE DIA 6 (JINDAL),1500,INR,2.17,149.49,2301,MPIN,OUT,,
MPIN,2,'2021/12/10,'2021/08/16,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-060DA2-BW PILOT BORE DIA 9 T400 (JINDAL),1000,INR,3.91,230.45,2301,MPIN,OUT,,
MPIN,2,'2021/12/10,'2021/08/16,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-080DA2-PILOT BORE DIA 16 (JINDAL),2000,INR,5.58,385.25,2301,MPIN,OUT,,
MPIN,2,'2021/12/10,'2021/08/16,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,SPACER SFC-025DA2-BW-7.5L,500,INR,0.59,40.61,2301,MPIN,OUT,,
MPIN,2,'2021/12/10,'2021/08/16,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,SPACER SFC-035DA2-BW-11L,2000,INR,0.9,61.81,2301,MPIN,OUT,,
MPIN,2,'2021/12/10,'2021/11/15,OUT,JCB INDIA LTD,4 - Construction machinery,,CF-A-030-01-T39,336,INR,9192,6406,2101,MPJP,IN,,
MPIN,2,'2021/12/10,'2021/09/16,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-010DA2-PILOT BORE DIA 2 (JINDAL),1700,INR,0.67,46.41,2301,MPIN,OUT,,
MPIN,2,'2021/12/10,'2021/09/16,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-010DA2-PILOT BORE DIA 6 (JINDAL),922,INR,0.67,46.41,2301,MPIN,OUT,,
