MPSH,1,20211119,20211126,OUT,RUJIANG-SHENZHENG,8000,121324700,SFC-035DA2-12B-14B,3,RMB,67,,2301,MPTJ,OUT,RUJIANG-SHENZHENG,8000,36
MPSH,1,20211119,20211126,OUT,RUJIANG-SHENZHENG,8000,121829400,SFC-035DA2-10B-16B,3,RMB,67,,2301,MPTJ,OUT,RUJIANG-SHENZHENG,8000,37
MPSH,1,20211119,20211126,OUT,RUJIANG-SHENZHENG,8000,,SFC-035SA2-14B-17B,3,RMB,48,,2301,MPTJ,OUT,RUJIANG-SHENZHENG,8000,38
MPSH,1,20211119,20211126,OUT,RUJIANG-SHENZHENG,8000,121793300,SFC-040DA2-12B-12B,3,RMB,73,,2301,MPTJ,OUT,RUJIANG-SHENZHENG,8000,39
MPSH,1,20211119,20211126,OUT,RUJIANG-SHENZHENG,8000,121842400,SFC-040DA2-12B-15B,3,RMB,73,,2301,MPTJ,OUT,RUJIANG-SHENZHENG,8000,40
MPSH,1,20211119,20211126,OUT,RUJIANG-SHENZHENG,8000,121734700,SFC-040DA2-15B-15B,3,RMB,73,,2301,MPTJ,OUT,RUJIANG-SHENZHENG,8000,41
MPSH,1,20211119,20211126,OUT,RUJIANG-SHENZHENG,8000,122731000,SFC-040DA2-17B-19B,3,RMB,73,,2301,MPTJ,OUT,RUJIANG-SHENZHENG,8000,42
MPSH,1,20211119,20211126,OUT,RUJIANG-SHENZHENG,8000,121845400,SFC-040SA2-10B-16B,3,RMB,53,,2301,MPTJ,OUT,RUJIANG-SHENZHENG,8000,43
MPSH,1,20211119,20211126,OUT,RUJIANG-SHENZHENG,8000,121759900,SFC-050DA2-12B-24B,3,RMB,101,,2301,MPTJ,OUT,RUJIANG-SHENZHENG,8000,44
MPSH,1,20211119,20211124,OUT,RUIJIAN,8000,121880600,SFC-020SA2-7B-8B,100,RMB,35,,2301,MPTJ,OUT,RUIJIAN,8000,45
MPSH,1,20211119,20211204,OUT,DAIDO-ROBOT,8000,121478200,SFC-040DA2-12B-19B,1,RMB,208,,2301,MPTJ,OUT,DAIDO-ROBOT,8000,46
MPSH,1,20211119,20220118,OUT,BITPASS,8000,128984400,SFF-060DS-24B-25B-80N,4,RMB,855,,2302,MPJP,IN,BITPASS,8000,47
MPSH,1,20211119,20211202,OUT,BITPASS,8000,,BXL-16-10N-080-24V-37,4,RMB,594,,1401,MPTJ,OUT,BITPASS,8000,48
MPSH,1,20211119,20220119,OUT,BITPASS,8000,,SFF-090DS-38K-40K,1,RMB,462,,2302,MPTJ,OUT,BITPASS,8000,49
MPSH,1,20211119,20220119,OUT,BITPASS,8000,122025600,SFF-100DS-35K-40K,8,RMB,558,,2302,MPTJ,OUT,BITPASS,8000,50
MPSH,1,20211119,20220119,OUT,BITPASS,8000,125980500,SFF-100DS-40K-40K,2,RMB,558,,2302,MPTJ,OUT,BITPASS,8000,51
MPSH,1,20211119,20211129,OUT,BITPASS,8000,121760500,SFC-050DA2-15B-22B,10,RMB,101,,2301,MPTJ,OUT,BITPASS,8000,52
MPSH,1,20211119,20211129,OUT,BITPASS,8000,121448100,SFC-060DA2-22B-22B,20,RMB,159,,2301,MPTJ,OUT,BITPASS,8000,53
MPSH,1,20211119,20211123,OUT,ACE,8000,,ALS-040ARN-16BHA-24BHA,2,RMB,71,,2202,MPTJ,OUT,ACE,8000,54
MPSH,1,20211119,20211123,OUT,ACE,8000,,ALS-040ARN-20BHA-24BHA,2,RMB,71,,2202,MPTJ,OUT,ACE,8000,55
MPSH,3,20211119,20211105,OUT,MISUMI,8000,121923700,SFC-060DA2-24B-30B,10,RMB,303.42,,2301,MPTJ,OUT,MISUMI,8000,1
MPSH,3,20211119,20211118,OUT,MISUMI,8000,121713300,SFC-030SA2-8B-9B,8,RMB,100.85,,2301,MPTJ,OUT,MISUMI,8000,2
MPSH,3,20211119,20211103,OUT,BITPASS,8000,121910700,SFC-060SA2-14B-20B,32,RMB,135,,2301,MPTJ,OUT,BITPASS,8000,3
MPSH,3,20211119,20211118,OUT,BITPASS,8000,,SFF-100SS-42KK-42KK,2,RMB,442,,2302,MPTJ,OUT,BITPASS,8000,4
MPSH,3,20211119,20211118,OUT,BITPASS,8000,,ALS-020ARN-6BHA-6.35BHA,100,RMB,32,,2202,MPTJ,OUT,BITPASS,8000,5
MPSH,3,20211119,20211118,OUT,BITPASS,8000,121875800,SFC-060DA2-18B-20B,4,RMB,159,,2301,MPTJ,OUT,BITPASS,8000,6
MPSH,3,20211119,20211118,OUT,BITPASS,8000,,ALS-080ARN-35BHA-35BHA,8,RMB,227,,2202,MPTJ,OUT,BITPASS,8000,7
MPSH,3,20211119,20211118,OUT,BITPASS,8000,121503400,SFC-040DA2-15B-19B,10,RMB,73,,2301,MPTJ,OUT,BITPASS,8000,8
MPSH,3,20211119,20211118,OUT,BITPASS,8000,121809500,SFC-030SA2-6B-12B,4,RMB,97,,2301,MPTJ,OUT,BITPASS,8000,9
MPSH,3,20211119,20211118,OUT,RUJIANG-SHENZHENG,8000,121487700,SFC-035SA2-10B-14B,4,RMB,48,,2301,MPTJ,OUT,RUJIANG-SHENZHENG,8000,10
