MPTW,1,OUT,2021-11-19,A02,210100,Centaflex,2022-01-14,0000-00-00,ACE PILLER,104408600,CF-A-140-OB-1360,2,PCS,118.6,002,6599,Hundred Dyna,8000,Trading company
MPTW,1,OUT,2021-11-19,A02,210100,Centaflex,2022-01-14,0000-00-00,ACE PILLER,104366400,CF-A-050-OB-1360,4,PCS,49.4,002,5497,Hundred Dyna,8000,Trading company
MPTW,1,OUT,2021-11-19,A02,210100,Centaflex,2022-01-14,0000-00-00,ACE PILLER,104432200,CF-A-080-OB-1360,2,PCS,77.6,002,4318,Hundred Dyna,8000,Trading company
MPTW,1,OUT,2021-11-19,A02,260100,ETP,2021-12-13,0000-00-00,ACE PILLER,129013500,ETP-E-015-NH,2,PCS,61.1,002,3400,PRO ACCUTECH,8000,Trading company
MPTW,1,OUT,2021-11-19,A02,130100,STD CB,2022-01-06,0000-00-00,ACE PILLER,TW90979,101-12-11G 24V R25JIS A25JIS N14,1,PCS,81.02,002,2254,GALLANT MICR,8000,Trading company
MPTW,1,OUT,2021-11-19,A02,230100,Servoflex SFC,2021-11-25,0000-00-00,ACE PILLER,127718700,SFC-020SA2-6B-8B,1,PCS,293,,293,EVEST CORPOR,8000,Trading company
MPTW,1,OUT,2021-11-19,A02,230100,Servoflex SFC,2021-11-25,0000-00-00,ACE PILLER,127718400,SFC-020SA2-6.35B-8B,18,PCS,293,,5274,MPI CORPORAT,8000,Trading company
MPTW,1,OUT,2021-11-19,A02,230100,Servoflex SFC,2021-11-25,0000-00-00,ACE PILLER,127719200,SFC-020SA2-8B-8B,4,PCS,293,,1172,MABUCHI TAIW,8000,Trading company
MPTW,1,OUT,2021-11-19,A02,230100,Servoflex SFC,2021-11-26,0000-00-00,ACE PILLER,127747300,SFC-080DA2-22B-30B,6,PCS,1199,,7194,POWERONE CNC,8000,Trading company
MPTW,1,OUT,2021-11-19,A02,230100,Servoflex SFC,2021-11-26,0000-00-00,ACE PILLER,127731200,SFC-040SA2-12B-12B,1,PCS,439,,439,GSA TECHNOLO,8000,Trading company
MPTW,1,OUT,2021-11-19,A02,230100,Servoflex SFC,2021-11-26,0000-00-00,ACE PILLER,127727000,SFC-035SA2-15B-15B,4,PCS,370,,1480,CHAIN WE MAC,8000,Trading company
MPTW,1,OUT,2021-11-19,A02,230200,Servoflex SFS/SFF/SFM/SFH,2022-03-16,0000-00-00,ACE PILLER,129563700,SFF-120DS-40K-40K-600N,1,PCS,133.6,002,3717,QUALTECH CO.,8000,Trading company
