MPTW,3,OUT,STD BXR,DELTA,A0031,140102,IN21122001,2021-12-20,SA21C20001,?車器,TW90160,Brakes,,BXR-08-10-A-54,Goods,80,PCS,3880,001,76483,0,76483,310400,,986,1.28917537,75497,75497,0,0,0,,MIKI PULLEY CO.LTD,2021-10-04,0100,Motor,,
MPTW,3,OUT,Index Handle,ACE PILLER,A0030,310700,UT92673698,2021-12-20,SA21C20002,指示手柄,033029300,Indicating handle,hsinyin,SD-75B-64R,Goods,19,PCS,17.1,002,8988,449,9437,324.9,匯率:27.665,3014.4,33.53805073,5973.6,5973.6,0,0,0,X0639,MIKI PULLEY CO.LTD,2021-10-21,8000,Trading company,,
MPTW,3,OUT,Belt Type Speed Drive,ACE PILLER,A0030,310100,UT92673698,2021-12-20,SA21C20002,皮帶式無段變速機組件,129007400,Belt Type Speed Drive,?陽實業有限公司,PE-212N-AN-30H,Goods,6,PCS,350.1,002,58113,2906,61019,2100.6,,34068,58.62371586,24045,24045,0,0,0,A0046,MIKI PULLEY CO.LTD,2021-10-26,8000,Trading company,,
MPTW,3,OUT,Centaflex,ACE PILLER,A0030,210100,UT92673698,2021-12-20,SA21C20002,聯軸器,TW91628,CENTA FLEX Coupling,HUA TAI FENG TECHNOLOGY INC.,CF-A-030-O2-1360 40H-65H,Goods,4,PCS,135.7,002,15017,751,15768,542.8,,5687,37.87041353,9330,9330,0,0,0,X0212,MIKI PULLEY CO.LTD,2021-10-26,8000,Trading company,8000,Trading company
MPTW,3,OUT,StepFlex,ACE PILLER,A0030,270100,UT92673698,2021-12-20,SA21C20002,聯軸器,127649200,Couplings,ALL RING TECH CO. LTD.,STF-024SA1-6B-8B,Goods,8,PCS,40,002,8853,443,9296,320,,2687,30.35129335,6166,6166,0,0,0,X0331,MIKI PULLEY CO.LTD,2021-11-09,8000,Trading company,1100,Semiconductor making equipment
MPTW,3,OUT,Index Handle,ACE PILLER,A0030,310700,UT92673698,2021-12-20,SA21C20002,指示手柄,033063900,Indicating handle,hsinyin,SD-75B-64L,Goods,1,PCS,17.1,002,473,24,497,17.1,,158.6,33.53065539,314.4,314.4,0,0,0,X0639,MIKI PULLEY CO.LTD,2021-11-11,8000,Trading company,,
MPTW,3,OUT,Index Handle,ACE PILLER,A0030,310700,UT92673698,2021-12-20,SA21C20002,指示手柄,033063900,Indicating handle,Shanhsing Machinery Co. Ltd.,SD-75B-64L,Goods,5,PCS,17.1,002,2365,118,2483,85.5,,793,33.53065539,1572,1572,0,0,0,X1243,MIKI PULLEY CO.LTD,2021-11-11,8000,Trading company,,
MPTW,3,OUT,Index Handle,ACE PILLER,A0030,310700,UT92673698,2021-12-20,SA21C20002,指示手柄,033029300,Indicating handle,hsinyin,SD-75B-64R,Goods,1,PCS,17.1,002,473,24,497,17.1,,158.6,33.53065539,314.4,314.4,0,0,0,X0639,MIKI PULLEY CO.LTD,2021-11-11,8000,Trading company,,
MPTW,3,OUT,Index Handle,ACE PILLER,A0030,310700,UT92673698,2021-12-20,SA21C20002,指示手柄,033029300,Indicating handle,Shanhsing Machinery Co. Ltd.,SD-75B-64R,Goods,5,PCS,17.1,002,2365,118,2483,85.5,,793,33.53065539,1572,1572,0,0,0,X1243,MIKI PULLEY CO.LTD,2021-11-11,8000,Trading company,,
MPTW,3,OUT,CB Power Supply,ACE PILLER,A0030,190100,UT92673698,2021-12-20,SA21C20002,電源裝置,121706500,Power Supply,RU LONG WOODMACHINE CO.LTD.,BEM-2H 360L,Goods,8,PCS,6.8,002,1505,75,1580,54.4,,871.067,57.87820598,633.933,633.933,0,0,0,X0006,MIKI PULLEY CO.LTD,2021-11-15,8000,Trading company,1000,Machine tool
