,MPKR,3,2021-11-25,2021-11-25,OUT,HANSUNG TNI,0400,#N/A,SG BOLT: M14X2X40 CF-A-025-OB1360G,30,KRW,0,0,#N/A,out,,,
,MPKR,3,2021-11-25,2021-11-25,OUT,EVERDIGM,0400,104409300,COUPLING: CF-A-140-SC-1360,10,KRW,255000,8129,02101,out,,,
,MPKR,3,2021-11-25,2021-11-25,OUT,LS MECAPION,0100,125814300,BRAKE: BXW-01-10-15,100,KRW,24300,2092,01201,out,,,
,MPKR,3,2021-11-25,2021-11-25,OUT,LS MECAPION,0100,125814500,BRAKE: BXW-05-10-13,200,KRW,36000,2368,01201,out,,,
,MPKR,3,2021-11-25,2021-11-25,OUT,JEUS,1200,124757900,BRAKE: BXR-12-10-030-24V-24DIN,2,KRW,219000,6184,01201,out,,,
,MPKR,3,2021-11-25,2021-11-25,OUT,EWELLIX,9000,121519100,BRAKE: BXW-04-10H-24V-10,6,KRW,53000,1650,01201,out,,,
,MPKR,3,2021-11-25,2021-11-25,OUT,EWELLIX,9000,121519100,BRAKE: BXW-04-10H-24V-10,13,KRW,53000,1650,01201,out,,,
,MPKR,3,2021-11-25,2021-11-25,OUT,EWELLIX,9000,121519100,BRAKE: BXW-04-10H-24V-10,8,KRW,53000,1650,01201,out,,,
,MPKR,3,2021-11-25,2021-11-25,OUT,EWELLIX,9000,121519100,BRAKE: BXW-04-10H-24V-10,12,KRW,53000,1650,01201,out,,,
,MPKR,3,2021-11-25,2021-11-25,OUT,EWELLIX,9000,124757700,BRAKE: BXR-08-10-012-24V-20DIN,12,KRW,148000,4444,01401,out,,,
,MPKR,3,2021-11-25,2021-11-25,OUT,EWELLIX,9000,124757700,BRAKE: BXR-08-10-012-24V-20DIN,12,KRW,148000,4444,01401,out,,,
,MPKR,3,2021-11-25,2021-11-25,OUT,EWELLIX,9000,124757700,BRAKE: BXR-08-10-012-24V-20DIN,11,KRW,148000,4444,01401,out,,,
,MPKR,3,2021-11-25,2021-11-25,OUT,SJ ENNOTECH,1100,121608300,COUPLING: SFC-020DA2-8B-10B,1,KRW,11300,1169,02301,out,,,
,MPKR,3,2021-11-25,2021-11-25,OUT,SJ ENNOTECH,1100,121890100,COUPLING: SFC-030DA2-11B-12B,1,KRW,13000,1362,02301,out,,,
,MPKR,3,2021-11-25,2021-11-25,OUT,FASTECH,0100,0810000672,SHAFT (､ｱ60)-BXW-02-10-53,5,KRW,0,0,09910,out,,,
,MPKR,3,2021-11-25,2021-11-25,OUT,FASTECH,0100,0810000672,SHAFT (､ｱ60)-BXW-02-10-53,5,KRW,0,0,09910,out,,,
,MPKR,3,2021-11-25,2021-11-25,OUT,#N/A,#N/A,124578600,BRAKE: BXW-04-10S-24V-10,1,KRW,67000,1642,01201,out,,,
,MPKR,3,2021-11-25,2021-11-25,OUT,BUYEONG PRECISION,2100,128505400,TORQ-TENDER: TT-2X-01-T54,10,KRW,325000,7886,03105,out,,,
,MPKR,1,2021-11-25,2022-03-11,OUT,I-MARKET KOREA,8000,129345300,COUPLING: SFF-120DS-32B-40B-600N,28,KRW,284000,10119,02302,out,,,
,MPKR,1,2021-11-25,2022-03-11,OUT,I-MARKET KOREA,8000,129345300,COUPLING: SFF-120DS-32B-40B-600N,28,KRW,284000,10119,02302,out,,,
,MPKR,1,2021-11-25,2021-12-17,OUT,JS PACK,1900,100044000,SPEED DRIVE: AP-98-MA-14,5,KRW,150000,5790,03101,out,,,
,MPKR,1,2021-11-25,2021-12-17,OUT,JS PACK,1900,100016400,SPEED DRIVE: P-98-MA-15,2,KRW,120000,3639,03101,out,,,
,MPKR,1,2021-11-25,2021-12-17,OUT,JS PACK,1900,#N/A,DRIVE ADAPTER: P-98-15,3,KRW,10000,0,#N/A,out,,,
,MPKR,1,2021-11-25,2022-01-28,OUT,HWACHEON,1000,127237000,COUPLING: SFC-055DA2-19B-20B,12,KRW,80000,2522,02301,out,,,
,MPKR,1,2021-11-25,2022-12-24,OUT,#N/A,#N/A,#N/A,COUPLING: SFS-10W-C-32H-40H,1,KRW,390000,0,#N/A,out,,,
,MPKR,1,2021-11-25,2021-12-17,OUT,KEUMA,8000,130228800,COUPLING: SFC-060DA2-20B-24K,5,KRW,86500,2638,02301,out,,,
,MPKR,1,2021-11-25,2022-01-14,OUT,SMEC,1000,128545800,COUPLING: SFF-090SS-T048N,1,KRW,270000,5143,02302,out,,,
,MPKR,1,2021-11-25,2021-12-13,OUT,DK MEDICAL,1400,103153500,CLUTCH: CSZ-08-35,10,KRW,250000,11094,01301,out,,,
,MPKR,1,2021-11-25,2021-12-13,OUT,DK MEDICAL,1400,128721400,BRAKE: BXH-10-10-A-74,10,KRW,130000,5583,01401,out,,,
,MPKR,1,2021-11-25,2021-12-13,OUT,DK MEDICAL,1400,128720300,BRAKE: BXH-08-10-A-123,10,KRW,109000,3959,01401,out,,,
,MPKR,1,2021-11-25,2021-12-13,OUT,DK MEDICAL,1400,122287400,CLUTCH: 101-06-13G 24V 15JIS,10,KRW,72000,3976,01301,out,,,
,MPKR,1,2021-11-25,2021-12-13,OUT,DK MEDICAL,1400,103532400,CLUTCH: 546-13-34-NF 24V 15DIN,15,KRW,527000,27249,01501,out,,,
,MPKR,1,2021-11-25,2021-12-25,OUT,#N/A,#N/A,122646600,CB UNIT: 125-16-12G,3,KRW,1210000,37526,01302,out,,,
,MPKR,1,2021-11-25,2021-12-25,OUT,#N/A,#N/A,122646500,CB UNIT: 125-12-12G,3,KRW,910000,27054,01302,out,,,
