"補充日","担当者","補充後前輪空気圧","補充後後輪空気圧","車種","指定空気圧","車番","洗車日","No"
"20210226","90001:1O20:003553","141","141","MAZDA3","前 250KPA　後 250KPA","福山300も1744","20210226",""
"20210226","90001:1O20:003553","141","141","バネット","前 300KPA　後 300KPA","相模502ね1079","",""
