"日付","車種","車番","出社時メータ","帰社時メータ","行き先","始業点検チェック","除菌チェック","運転者名","灯火類","タイヤ","ボディー","警告灯","No"
"20210601","バネット","相模502ね1079","7798","8092","アルファー工業/品管今井","始業点検チェック","除菌チェック","90001:1F31:003158","","","","",""
"20210601","バネット","相模502ね1079","8092","8476","千葉/品証佐藤","始業点検チェック","除菌チェック","90001:1F31:003158","","","","",""
"20210601","バネット","相模502ね1079","8476","8498","相模原/物流引地","始業点検チェック","除菌チェック","90001:1F31:003158","","","","",""
"20210601","バネット","相模502ね1079","8498","8550","スカイ/品管今井","始業点検チェック","除菌チェック","90001:1F31:003158","","","","",""
"20210601","バネット","相模502ね1079","8550","8553","日通NEC/マーケ柴山","始業点検チェック","除菌チェック","90001:1F31:003158","","","","",""
