Code,Group,Posted Date,Invoice Date,ETD,ANA-4,Customer Code,Customer Group4(Industry Code)(Sub-Ledger),Item Code,Item Name,Qty,Currency,Price.,Exchange Rate,Amount (Transaction) (HKD),Cost(HKD),Group 5(Item),ANA-2,Location,Spec. Customer (Transaction),Industry Code (Transaction),
MPHK,3,20220114,20220111,,OUT,ELEMATEC-C,8000,126382200,BEM-4T-A-5,200,USD,2.1300 ,7.8000000 ,"3,322.80 ","2,240.00 ",1901,MPJP,IN,,,
MPHK,3,20220114,20220113,,OUT,SAKURA-C,8000,128256900,"CPG-030-T010B (SLIDER) New
(DWG: GT-KCP-G503-B)",800,USD,1.1000 ,7.8000000 ,"6,864.00 ","2,044.80 ",2901,MULTIPLE,OUT,NIKON,0100,
MPHK,3,20220114,20220113,,OUT,SAKURA-C,8000,128256900,"CPG-030-T010B (SLIDER) New
(DWG: GT-KCP-G503-B)","3,200",USD,1.1000 ,7.8000000 ,"27,456.00 ","8,832.00 ",2901,MULTIPLE,OUT,NIKON,0100,
MPHK,3,20220114,20220113,,OUT,SAKURA-C,8000,128256900,"CPG-030-T010B (SLIDER) New
(DWG: GT-KCP-G503-B)","3,995",USD,1.1000 ,7.8000000 ,"34,277.10 ","11,026.20 ",2901,MULTIPLE,OUT,NIKON,0100,
MPHK,3,20220114,20220113,,OUT,SAKURA-C,8000,128256900,"CPG-030-T010B (SLIDER) New
(DWG: GT-KCP-G503-B)",5,USD,1.1000 ,7.8000000 ,42.90 ,14.82 ,2901,MULTIPLE,OUT,NIKON,0100,
MPHK,3,20220114,20220113,,OUT,SAKURA-C,8000,127646500,"CPG-030-T010A (HUB)
(DWG: GT-KCP-G501)","13,900",USD,2.2000 ,7.8000000 ,"238,524.00 ","34,055.00 ",2901,MULTIPLE,OUT,NIKON,0100,
MPHK,3,20220114,20220113,,OUT,SAKURA-C,8000,127646500,"CPG-030-T010A (HUB)
(DWG: GT-KCP-G501)",80,USD,2.2000 ,7.8000000 ,"1,372.80 ",196.00 ,2901,MULTIPLE,OUT,NIKON,0100,
MPHK,3,20220114,20220113,,OUT,SAKURA-C,8000,127646500,"CPG-030-T010A (HUB)
(DWG: GT-KCP-G501)","2,020",USD,2.2000 ,7.8000000 ,"34,663.20 ","5,575.20 ",2901,MULTIPLE,OUT,NIKON,0100,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
