据点ID,区分,受注日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,受注数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C,ID
MPSH,1,20220114,20220310,OUT,JTC,8000,108922800,NSS 10.9.12,100,RMB,3400,,2902,MPJP,IN,电产京利,1020,1
MPSH,1,20220114,20220114,IN,MIKIPULLY TJ,,,压敏电阻（MLVS),240000,RMB,2.4602,,3101,其他,OUT,,,2
MPSH,1,20220114,20220114,IN,MIKIPULLY TJ,,,稳压二极管（ZENER DIODE),30000,RMB,0.1947,,3101,其他,OUT,,,3
MPSH,1,20220114,20220307,OUT,MISUMI,8000,121461600,SFC-030SA2-10B-14B,7,RMB,100.85,,2301,MPTJ,OUT,米思米,8020,4
MPSH,1,20220114,20220311,OUT,MISUMI,8000,121454900,SFC-020DA2-8B-8B,4,RMB,121.37,,2301,MPTJ,OUT,米思米,8020,5
MPSH,1,20220114,20220208,OUT,ANSEN,8000,121461600,SFC-030SA2-10B-14B,5,RMB,97,,2301,MPTJ,OUT,,,6
MPSH,1,20220114,20220208,OUT,ANSEN,8000,122290700,111-12-11G 24V 25JIS,1,RMB,322,,1301,MPTJ,OUT,上海工机,0220,7
MPSH,1,20220114,20220208,OUT,ANSEN,8000,122309300,CS-12-35G 24V R25JIS A25JIS,1,RMB,746,,1301,MPTJ,OUT,,,8
MPSH,1,20220114,20220127,OUT,ANSEN,8000,121946300,SFC-050DA2-18B-19B,4,RMB,204,,2301,MPTJ,OUT,山东鲁南机床,1010,9
MPSH,1,20220114,20220127,OUT,ANSEN,8000,128218800,SFC-090SA2-32B-42B,1,RMB,333,,2301,MPTJ,OUT,,,10
MPSH,1,20220114,20220127,OUT,ANSEN,8000,125736400,SFC-090SA2-25B-42B,1,RMB,333,,2301,MPTJ,OUT,,,11
MPSH,1,20220114,20220127,OUT,ANSEN,8000,123005700,SFC-080SA2-22B-25B,1,RMB,285,,2301,MPTJ,OUT,,,12
MPSH,1,20220114,20220127,OUT,ANSEN,8000,123005800,SFC-080SA2-22B-28B,1,RMB,285,,2301,MPTJ,OUT,,,13
MPSH,1,20220114,20220304,OUT,ANSEN,8000,033031200,SD-50-20L,3,RMB,433,,3107,MPJP,IN,,,14
MPSH,1,20220114,20220701,OUT,ZHENGYI BEARING,8000,129563900,SFF-120SS-40K-40K-600N,15,RMB,1120,,2302,MPJP,IN,环球工业,1010,15
MPSH,1,20220114,20220701,OUT,ZHENGYI BEARING,8000,130938100,SFF-120SS-35K-40K-600N,2,RMB,1221,,2302,MPJP,IN,环球工业,1010,16
MPSH,1,20220114,20220209,OUT,HEXI,8000,122309000,CS-06-35G 24V R12JIS A12JIS,50,RMB,399,,1301,MPTJ,OUT,深圳硕勒施,1590,17
MPSH,1,20220114,20220221,OUT,OKUMA,1000,121412300,SFF-080SS-30K-35KS,63,RMB,366,,2302,MPTJ,OUT,北一大隈,1090,18
MPSH,1,20220114,20220221,OUT,OKUMA,1000,123146000,PSL-G-30,16,RMB,109,,2602,MPTJ,OUT,北一大隈,1090,19
MPSH,1,20220114,20220301,OUT,OKUMA,1000,123146200,PSL-G-35,48,RMB,112,,2602,MPTJ,OUT,北一大隈,1090,20
MPSH,1,20220114,20220126,OUT,TIANJIN AOXIANG,8000,121850800,SFC-050SA2-14B-18B,50,RMB,167,,2301,MPTJ,OUT,山东新景,1030,21
MPSH,1,20220114,20220126,OUT,TIANJIN AOXIANG,8000,100047200,AP-124-MA-19,10,RMB,372,,3101,MPTJ,OUT,北京纽朗,1910,22
MPSH,1,20220114,20220126,OUT,TIANJIN AOXIANG,8000,100021300,P-124-MA-18,10,RMB,271,,3101,MPTJ,OUT,北京纽朗,1910,23
MPSH,1,20220114,20220126,OUT,TIANJIN AOXIANG,8000,100016500,P-98-MA-16,5,RMB,172,,3101,MPTJ,OUT,北京纽朗,1910,24
MPSH,1,20220114,20220126,OUT,TIANJIN AOXIANG,8000,100016600,P-98-MA-18,5,RMB,172,,3101,MPTJ,OUT,北京纽朗,1910,25
MPSH,1,20220114,20220126,OUT,TIANJIN AOXIANG,8000,123151500,PSL-K-28,26,RMB,163,,2602,MPJP,IN,山东新景,1030,26
MPSH,1,20220114,20220418,OUT,LONGXING,8000,,SFS-09S-17M-28M,1,RMB,1296,,2302,MPJP,IN,深圳龙兴,9099,27
