据点ID,区分,出货日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C,ID
MPSH,3,20220110,20211231,OUT,TIANRUICHENG,8000,676171,546.31.4.5(676171),1,RMB,18540,,1501,其他,OUT,海螺集团,9090,1
MPSH,3,20220110,20211210,OUT,AMADA,1000,112233000,AK-185-AV,10,RMB,1193.97,,3101,MPJP,IN,天田机床,1090,2
MPSH,3,20220110,20211210,OUT,AMADA,1000,100124900,PE-250-P,10,RMB,2202.59,,3101,MPJP,IN,天田机床,1090,3
MPSH,3,20220110,20220110,OUT,ACE,8000,129276900,SFF-120DS-55BM-55BM-600N,60,RMB,1100,,2302,MPJP,IN,青岛高测,1010,4
MPSH,3,20220110,20220107,OUT,ZHENGYI BEARING,8000,121733000,SFC-060DA2-20B-25B,20,RMB,285,,2301,MPTJ,OUT,利元亨,1290,5
MPSH,3,20220110,20220107,OUT,ZHENGYI BEARING,8000,121808800,SFC-010DA2-5B-6B,3,RMB,121,,2301,MPTJ,OUT,深圳中科,9004,6
MPSH,3,20220110,20220107,OUT,MISUMI,8000,121931800,SFC-050SA2-19B-22B,2,RMB,168.38,,2301,MPTJ,OUT,米思米,8020,7
MPSH,3,20220110,20220107,OUT,MISUMI,8000,121852000,SFC-050SA2-19B-24B,2,RMB,168.38,,2301,MPTJ,OUT,米思米,8020,8
MPSH,3,20220110,20211122,OUT,ANSEN,8000,,SFF-100DS-48KK-55KM,100,RMB,465,,2302,MPTJ,OUT,华都精工,1090,9
MPSH,3,20220110,20211129,OUT,ANSEN,8000,,SFF-100DS-38KK-55KM,43,RMB,465,,2302,MPTJ,OUT,华都精工,1090,10
MPSH,3,20220110,20220107,OUT,BITPASS,8000,125192700,SFC-040DA2-15BH-19BH,10,RMB,181,,2301,MPTJ,OUT,上海昱品,9099,11
MPSH,3,20220110,20220106,OUT,BITPASS,8000,,SFC-030DA2-14B-14B L=55,2,RMB,158,,2301,MPTJ,OUT,苏州迈为,1190,12
MPSH,3,20220110,20220107,OUT,BITPASS,8000,121732900,SFC-060DA2-20B-20B,20,RMB,159,,2301,MPTJ,OUT,上海联泰,1190,13
MPSH,3,20220110,20220107,OUT,BITPASS,8000,121830200,SFC-040DA2-16B-19B,4,RMB,73,,2301,MPTJ,OUT,上海联泰,1190,14
