,,,,,,,,,,,,,,,,,,
The Undelivered Order (By Customer)-N,,,,,,,,,,,,,,,,,,
Date: 2020-01-01 - 2023-01-31,,,,,,,,,,,,,,,,,,
Customer: All,,,,,,,,,,,,,,,,,,
 ,,, ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Customer,Business name,Customer Abbr.,Product Name,Order Date,Expected Delivery Date,Item No.,Subcategory Name,Business,Subcategory No.,Goods specification,Unit,Unit price,Currency,Backlog Quantity,Backlog Amt.,EndUSER,User type code,User type
,,,,,,,,,,,,,,,,,,
A0052,OUT,信毅科技,聯軸器,2021-11-30,2022-01-16,TW93105,Servoflex SFC,A02,230100,SFC-050SA2-T218,PCS,1630,,20,34230,,,
A0050,OUT,大同大隈,聯軸器,2021-07-13,2021-12-27,125211100,Servoflex SFS/SFF/SFM/SFH,A02,230200,SFF-080SS-30B-35BS-150N,PCS,956,,317,318204.6,,,
A0050,OUT,大同大隈,聯軸器,2021-11-17,2022-03-31,125211100,Servoflex SFS/SFF/SFM/SFH,A02,230200,SFF-080SS-30B-35BS-150N,PCS,956,,600,602280,,,
A0033,OUT,HIWIN,聯軸器,2021-12-29,2022-01-20,127721500,Servoflex SFC,A02,230100,SFC-030DA2-8B-8B,PCS,570,,4,2394,,1200,Industrial robot
A0033,OUT,HIWIN,聯軸器,2022-01-06,2022-02-15,128647100,StepFlex,A02,270100,STF-034SA1-6.35B-8B,PCS,1260,,60,79380,,1200,Industrial robot
A0033,OUT,HIWIN,聯軸器,2022-01-07,2022-01-27,127728800,Servoflex SFC,A02,230100,SFC-040DA2-12B-19B,PCS,765,,3,2410,,1200,Industrial robot
A0033,OUT,HIWIN,聯軸器,2022-01-12,2022-01-27,127744700,Servoflex SFC,A02,230100,SFC-060SA2-18B-22B,PCS,975,,1,1024,,1200,Industrial robot
A0033,OUT,HIWIN,聯軸器,2022-01-12,2022-01-27,TW92165,Servoflex SFC,A02,230100,SFC-060SA2-18B-18B,PCS,975,,1,1024,,1200,Industrial robot
A0031,OUT,DELTA,?車器,2021-05-19,2021-09-27,127974400,STD BXR,A02,140102,BXR-14-10-A-41,PCS,5480,001,80,111222,,0100,Motor
A0031,OUT,DELTA,?車器,2021-05-19,2021-09-27,127974400,STD BXR,A02,140102,BXR-14-10-A-41,PCS,5480,001,80,111222,,0100,Motor
A0031,OUT,DELTA,?車器,2021-05-19,2021-09-27,127974400,STD BXR,A02,140102,BXR-14-10-A-41,PCS,5480,001,80,111222,,0100,Motor
A0031,OUT,DELTA,?車器,2021-05-19,2021-09-27,127974400,STD BXR,A02,140102,BXR-14-10-A-41,PCS,5480,001,80,111222,,0100,Motor
A0031,OUT,DELTA,?車器,2021-05-19,2021-10-04,127974400,STD BXR,A02,140102,BXR-14-10-A-41,PCS,5480,001,80,111222,,0100,Motor
A0031,OUT,DELTA,?車器,2021-05-19,2021-10-04,127974400,STD BXR,A02,140102,BXR-14-10-A-41,PCS,5480,001,80,111222,,0100,Motor
A0031,OUT,DELTA,?車器,2021-05-19,2021-10-04,127974400,STD BXR,A02,140102,BXR-14-10-A-41,PCS,5480,001,80,111222,,0100,Motor
