Code,Group,Sales Order Date,Download Date,ETD,ANA-4,Customer Code,Customer Group4(Industry Code)(Sub-Ledger),Item Code,Item Name,Qty,Currency,Price.,Exchange Rate,Amount (Transaction) (HKD),Cost(HKD),Group 5(Item),ANA-2,Location,Spec. Customer (Transaction),Industry Code (Transaction),
MPHK,2,20210524,20220111,20210831,OUT,SINGHUAT-C,8000,126286300,BXW-01-10-27,"2,000",USD,13.9000 ,7.7530000 ,"215,533.40 ",,1201,MPTW,OUT,K&S,1100,
MPHK,2,20210719,20220111,20211015,OUT,SINGHUAT-C,8000,126286300,BXW-01-10-27,"4,000",USD,13.9000 ,7.7530000 ,"431,066.80 ",,1201,MPTW,OUT,K&S,1100,
MPHK,2,20210813,20220111,20211105,OUT,ELEMATEC-C,8000,126455500,BXW-03-10MP-45V,60,USD,23.9000 ,7.7530000 ,"11,117.80 ",,1201,MPTW,OUT,,,
MPHK,2,20210823,20220111,20211112,OUT,ELEMATEC-C,8000,126455600,BXW-03-10MP-90V,120,USD,24.9000 ,7.7530000 ,"23,165.96 ",,1201,MPTW,OUT,,,
MPHK,2,20210825,20220111,20211215,OUT,SINGHUAT-C,8000,126286300,BXW-01-10-27,"2,500",USD,13.9000 ,7.7530000 ,"269,416.75 ",,1201,MPTW,OUT,K&S,1100,
MPHK,2,20210830,20220111,20211126,OUT,ELEMATEC-C,8000,126455600,BXW-03-10MP-90V,60,USD,24.9000 ,7.7530000 ,"11,582.98 ",,1201,MPTW,OUT,,,
MPHK,2,20210906,20220111,20211207,OUT,ELEMATEC-C,8000,126455500,BXW-03-10MP-45V,60,USD,23.9000 ,7.7530000 ,"11,117.80 ",,1201,MPTW,OUT,,,
MPHK,2,20210906,20220111,20211207,OUT,ELEMATEC-C,8000,126455600,BXW-03-10MP-90V,60,USD,24.9000 ,7.7530000 ,"11,582.98 ",,1201,MPTW,OUT,,,
MPHK,2,20210910,20220111,20220113,OUT,SAKURA-C,8000,128256900,"CPG-030-T010B (SLIDER) New
(DWG: GT-KCP-G503-B)",800,USD,1.1000 ,7.8000000 ,"6,864.00 ",,2901,MULTIPLE,OUT,NIKON,0100,
MPHK,2,20210910,20220111,20220113,OUT,SAKURA-C,8000,128256900,"CPG-030-T010B (SLIDER) New
(DWG: GT-KCP-G503-B)","7,195",USD,1.1000 ,7.8000000 ,"61,733.10 ",,2901,MULTIPLE,OUT,NIKON,0100,
MPHK,2,20210910,20220111,20220113,OUT,SAKURA-C,8000,128256900,"CPG-030-T010B (SLIDER) New
(DWG: GT-KCP-G503-B)",5,USD,1.1000 ,7.8000000 ,42.90 ,,2901,MULTIPLE,OUT,NIKON,0100,
MPHK,2,20210910,20220111,20220113,OUT,SAKURA-C,8000,127646500,"CPG-030-T010A (HUB)
(DWG: GT-KCP-G501)","13,975",USD,2.2000 ,7.8000000 ,"239,811.00 ",,2901,MULTIPLE,OUT,NIKON,0100,
MPHK,2,20210910,20220111,20220113,OUT,SAKURA-C,8000,127646500,"CPG-030-T010A (HUB)
(DWG: GT-KCP-G501)","2,025",USD,2.2000 ,7.8000000 ,"34,749.00 ",,2901,MULTIPLE,OUT,NIKON,0100,
MPHK,2,20210924,20220111,20211126,OUT,ELEMATEC-C,8000,126455200,BXW-02-10MP-45V,60,USD,23.0000 ,7.7530000 ,"10,699.14 ",,1201,MPTW,OUT,,,
MPHK,2,20210924,20220111,20211126,OUT,ELEMATEC-C,8000,126455200,BXW-02-10MP-45V,180,USD,23.0000 ,7.7530000 ,"32,097.42 ",,1201,MPTW,OUT,,,
MPHK,2,20210924,20220111,20211224,OUT,ELEMATEC-C,8000,126455600,BXW-03-10MP-90V,60,USD,24.9000 ,7.7530000 ,"11,582.98 ",,1201,MPTW,OUT,,,
MPHK,2,20210924,20220111,20211224,OUT,ELEMATEC-C,8000,126455600,BXW-03-10MP-90V,60,USD,24.9000 ,7.7530000 ,"11,582.98 ",,1201,MPTW,OUT,,,
MPHK,2,20210924,20220111,20211224,OUT,ELEMATEC-C,8000,126455800,BXW-04-10MP-03-90V,240,USD,26.2000 ,7.7530000 ,"48,750.86 ",,1201,MPTW,OUT,,,
MPHK,2,20210924,20220111,20211224,OUT,ELEMATEC-C,8000,126455400,BXW-02-10MP-90V,60,USD,24.0000 ,7.7530000 ,"11,164.32 ",,1201,MPTW,OUT,,,
MPHK,2,20210924,20220111,20211224,OUT,ELEMATEC-C,8000,126455500,BXW-03-10MP-45V,120,USD,23.9000 ,7.7530000 ,"22,235.60 ",,1201,MPTW,OUT,,,
MPHK,2,20210929,20220111,20211210,OUT,ELEMATEC-C,8000,125857300,"CPG-030-T001A (HUB)
(DWG: GT-KCP-G468-A)","20,000",USD,1.7300 ,7.7530000 ,"268,253.80 ",,2901,MPTJ,OUT,,,
MPHK,2,20210929,20220111,20211221,OUT,ELEMATEC-C,8000,125857300,"CPG-030-T001A (HUB)
(DWG: GT-KCP-G468-A)","20,000",USD,1.7300 ,7.7530000 ,"268,253.80 ",,2901,MPTJ,OUT,,,
MPHK,2,20210929,20220111,20211210,OUT,ELEMATEC-C,8000,125857600,"CPG-030-T001B (SLIDER)
(DWG: GT-KCP-G473)","10,000",USD,0.8200 ,7.7530000 ,"63,574.60 ",,2901,MPTJ,OUT,,,
MPHK,2,20210929,20220111,20211221,OUT,ELEMATEC-C,8000,125857600,"CPG-030-T001B (SLIDER)
(DWG: GT-KCP-G473)","10,000",USD,0.8200 ,7.7530000 ,"63,574.60 ",,2901,MPTJ,OUT,,,
MPHK,2,20210929,20220111,20211221,OUT,ELEMATEC-C,8000,126454900,BXW-01-10MP-45V,50,USD,22.3000 ,7.8000000 ,"8,697.00 ",,1201,MPTW,OUT,,,
MPHK,2,20210930,20220111,20220104,OUT,ELEMATEC-C,8000,125857300,"CPG-030-T001A (HUB)
(DWG: GT-KCP-G468-A)","20,000",USD,1.7300 ,7.8000000 ,"269,880.00 ",,2901,MPTJ,OUT,,,
MPHK,2,20210930,20220111,20220111,OUT,ELEMATEC-C,8000,125857300,"CPG-030-T001A (HUB)
(DWG: GT-KCP-G468-A)","20,000",USD,1.7300 ,7.8000000 ,"269,880.00 ",,2901,MPTJ,OUT,,,
MPHK,2,20210930,20220111,20220125,OUT,ELEMATEC-C,8000,125857300,"CPG-030-T001A (HUB)
(DWG: GT-KCP-G468-A)","20,000",USD,1.7300 ,7.8000000 ,"269,880.00 ",,2901,MPTJ,OUT,,,
MPHK,2,20210930,20220111,20220104,OUT,ELEMATEC-C,8000,125857600,"CPG-030-T001B (SLIDER)
(DWG: GT-KCP-G473)","10,000",USD,0.8200 ,7.8000000 ,"63,960.00 ",,2901,MPTJ,OUT,,,
MPHK,2,20210930,20220111,20220111,OUT,ELEMATEC-C,8000,125857600,"CPG-030-T001B (SLIDER)
(DWG: GT-KCP-G473)","10,000",USD,0.8200 ,7.8000000 ,"63,960.00 ",,2901,MPTJ,OUT,,,
MPHK,2,20210930,20220111,20220125,OUT,ELEMATEC-C,8000,125857600,"CPG-030-T001B (SLIDER)
(DWG: GT-KCP-G473)","10,000",USD,0.8200 ,7.8000000 ,"63,960.00 ",,2901,MPTJ,OUT,,,
MPHK,2,20210930,20220111,20220125,OUT,ELEMATEC-C,8000,126455500,BXW-03-10MP-45V,120,USD,23.9000 ,7.8000000 ,"22,370.40 ",,1201,MPTW,OUT,,,
MPHK,2,20210930,20220111,20220125,OUT,ELEMATEC-C,8000,126455600,BXW-03-10MP-90V,60,USD,24.9000 ,7.8000000 ,"11,653.20 ",,1201,MPTW,OUT,,,
MPHK,2,20210930,20220111,20220125,OUT,ELEMATEC-C,8000,126455700,BXW-04-10MP-03-45V,60,USD,25.2000 ,7.8000000 ,"11,793.60 ",,1201,MPTW,OUT,,,
