MPIN_Daily_report,,,,,,,,,,,,,,,,,
Branch,Clarification,Date,Requested delivery date,External sales or Internal Sales,Customer,Customer Market Segment,Product Number,Product Model ,Qty. (pcs),Currency (INR),Unit Selling Price per pcs (INR),Unit Purchase Cost per pcs (INR),Product Code,Name of supplier,Production in India,User Name,End user Market segment
MPIN,2,'2021/12/29,'2021/09/16,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-060DA2-BW PILOT BORE DIA 9 T400 (JINDAL),1000,INR,3.91,230.45,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/09/16,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-080DA2-PILOT BORE DIA 16 (JINDAL),1500,INR,5.58,385.25,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/09/16,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,SPACER SFC-020DA2-BW-7.5L (JINDAL),1000,INR,0.55,37.98,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/09/16,IN,MIKI PULLEY TAIWAN CO. LTD.,98 - Miki Group Company,,SPACER SFC-040DA2-BW-11L (JINDAL),1000,INR,0.99,68.32,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/06/18,OUT,ACE DESIGNERS LIMITED,10 - Machine tool,,PSL-G-50,5,INR,1932,1170,2602,MPTJ,OUT,,
MPIN,2,'2021/12/29,'2021/07/21,OUT,"JCB India Ltd., Pune Parts Centre",4 - Construction machinery,,CF-A-030-01-T39,5,INR,9192,6406,2101,MPJP,IN,,
MPIN,2,'2021/12/29,'2021/08/21,OUT,"JCB India Ltd., Pune Parts Centre",4 - Construction machinery,,CF-A-030-01-T39,6,INR,9192,6406,2101,MPJP,IN,,
MPIN,2,'2021/12/29,'2021/09/21,OUT,"JCB India Ltd., Pune Parts Centre",4 - Construction machinery,,CF-A-030-01-T39,6,INR,9192,6406,2101,MPJP,IN,,
MPIN,2,'2021/12/29,'2021/10/21,OUT,"JCB India Ltd., Pune Parts Centre",4 - Construction machinery,,CF-A-030-01-T39,8,INR,9192,6406,2101,MPJP,IN,,
MPIN,2,'2021/12/29,'2021/11/22,OUT,"JCB India Ltd., Pune Parts Centre",4 - Construction machinery,,CF-A-030-01-T39,6,INR,9192,6406,2101,MPJP,IN,,
MPIN,2,'2021/12/29,'2021/12/21,OUT,"JCB India Ltd., Pune Parts Centre",4 - Construction machinery,,CF-A-030-01-T39,6,INR,9192,6406,2101,MPJP,IN,,
MPIN,2,'2021/12/29,'2022/01/21,OUT,"JCB India Ltd., Pune Parts Centre",4 - Construction machinery,,CF-A-030-01-T39,8,INR,9192,6406,2101,MPJP,IN,,
MPIN,2,'2021/12/29,'2021/10/11,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-030DA2-BW FINISHED BORE 10mm,2000,INR,1.01,66.48,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/10/11,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-030DA2-BW FINISHED BORE 14mm,6000,INR,1.01,76.92,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/10/11,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,SPACER SFC-030DA2-BW-8L (JINDAL),1000,INR,0.66,50.68,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/07/10,OUT,VASAI TRANSMISSION,19 - Packaging machinery,,ALS-030-R-CLAMP TYPE,2,INR,700,395,2202,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/07/10,OUT,VASAI TRANSMISSION,19 - Packaging machinery,,ALS-040-R-CLAMP TYPE,3,INR,882,500,2202,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/07/10,OUT,VASAI TRANSMISSION,19 - Packaging machinery,,ALS-030-R-EL-P (100),6,INR,185,104,2202,MPJP,IN,,
MPIN,2,'2021/12/29,'2021/07/10,OUT,VASAI TRANSMISSION,19 - Packaging machinery,,ALS-040-R-EL-P (100),6,INR,198,112,2202,MPJP,IN,,
MPIN,2,'2021/12/29,'2021/07/31,OUT,HMT MACHINE TOOLS LIMITED-PINJORE,10 - Machine tool,,SFC-080DA2-32B-38B,3,INR,5212,1819.65,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/11/02,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-010DA2-BW FINISHED BORE 8mm,1000,INR,0.88,61.41,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/11/02,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-030DA2-BW PILOT BORE DIA 4 (JINDAL),1500,INR,0.82,53.48,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/11/02,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-030DA2-BW PILOT BORE DIA 8 (JINDAL),1500,INR,0.82,63.92,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/11/02,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-030DA2-BW FINISHED BORE 10mm,2000,INR,1.01,66.48,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/11/02,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-030DA2-BW FINISHED BORE 14mm,2000,INR,1.01,76.92,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/11/02,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-040DA2-BW FINISHED BORE 19MM,1000,INR,1.29,101.01,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/09/08,OUT,BHARAT FRITZ WERNER LTD,10 - Machine tool,,SFF-100DS-T051 (48-60),7,INR,26282,13446,2302,MPJP,IN,,
MPIN,2,'2021/12/29,'2021/12/02,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-010DA2-PILOT BORE DIA 2 (JINDAL),1000,INR,0.66,46.41,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/12/02,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-010DA2-BW FINISHED BORE 8mm,1000,INR,0.88,61.41,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/12/02,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-030DA2-BW PILOT BORE DIA 4 (JINDAL),2000,INR,0.82,53.48,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/12/02,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-030DA2-BW PILOT BORE DIA 8 (JINDAL),2000,INR,0.82,63.92,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/12/02,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-030DA2-BW FINISHED BORE 10mm,2000,INR,1.01,66.48,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/12/02,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-030DA2-BW FINISHED BORE 14mm,2000,INR,1.01,76.92,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/12/02,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,SPACER SFC-030DA2-BW-8L (JINDAL),1000,INR,0.66,50.68,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/12/02,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-040DA2-BW PILOT BORE DIA 13(JINDAL),1000,INR,1.15,90.75,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/12/02,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-040DA2-BW FINISHED BORE 12mm,500,INR,1.29,88.55,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/12/02,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-040DA2-BW FINISHED BORE 14mm,500,INR,1.29,88.55,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/12/02,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-040DA2-BW FINISHED BORE 16mm,500,INR,1.29,101.01,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/12/02,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-040DA2-BW FINISHED BORE 19MM,500,INR,1.29,101.01,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/11/30,OUT,ACE MANUFACTURING SYSTEMS LIMITED,10 - Machine tool,,ALS-065SGN-30KHA-35KSA,5,INR,9122,8930,2202,MPTW,OUT,,
MPIN,2,'2021/12/29,'2021/09/30,OUT,BHARAT FRITZ WERNER LTD,10 - Machine tool,,SFF-0100DS-35BJ-40BK-450N,2,INR,10029,8910,2302,MPJP,IN,,
MPIN,2,'2021/12/29,'2021/09/18,OUT,YANTRANG CNC AUTOMATION PVT. LTD.,10 - Machine tool,,SFC-050DA2-19B-20B-C,80,INR,1500,645.71,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/09/18,OUT,YANTRANG CNC AUTOMATION PVT. LTD.,10 - Machine tool,,SFC-050DA2-20B-22B-C,80,INR,1500,645.71,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/09/18,OUT,YANTRANG CNC AUTOMATION PVT. LTD.,10 - Machine tool,,SFC-050DA2-20B-24B-C,70,INR,1500,645.71,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/09/18,OUT,YANTRANG CNC AUTOMATION PVT. LTD.,10 - Machine tool,,SFC-060DA2-20B-24B-C,40,INR,2620,1101.69,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/09/18,OUT,YANTRANG CNC AUTOMATION PVT. LTD.,10 - Machine tool,,SFC-060DA2-24B-25B-C,40,INR,2620,1101.69,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/09/18,OUT,YANTRANG CNC AUTOMATION PVT. LTD.,10 - Machine tool,,SFC-080DA2-25B-32B,34,INR,3500,1819.65,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/09/18,OUT,YANTRANG CNC AUTOMATION PVT. LTD.,10 - Machine tool,,ALS-065-R-25B-35B,45,INR,1870,1302,2202,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/10/25,OUT,PMT MACHINES LIMITED,10 - Machine tool,,SFF-100DS-32BJ-45BJ-450N,2,INR,20512,9231,2302,MPJP,IN,,
MPIN,2,'2021/12/29,'2021/10/25,OUT,PMT MACHINES LIMITED,10 - Machine tool,,SFF-100DS-32B-35BS-450N,1,INR,18462,9231,2302,MPJP,IN,,
MPIN,2,'2021/12/29,'2021/09/11,OUT,HILTON METAL FORGING LTD.,90 - Other machinery,,SFC-060DA2-25B-35B-C,2,INR,3742,1101.69,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/09/11,OUT,HILTON METAL FORGING LTD.,90 - Other machinery,,SFC-080DA2-30B-35B,2,INR,5212,1819.65,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/11/21,OUT,ACE MANUFACTURING SYSTEMS LIMITED,10 - Machine tool,,ALS-065-G-28B-35B,20,INR,1828,1302,2202,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/12/21,OUT,ACE MANUFACTURING SYSTEMS LIMITED,10 - Machine tool,,ALS-065-G-28B-35B,20,INR,1828,1302,2202,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/10/21,OUT,ACE MANUFACTURING SYSTEMS LIMITED,10 - Machine tool,,ALS-065-G-20B-24B,10,INR,1828,1302,2202,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/11/21,OUT,ACE MANUFACTURING SYSTEMS LIMITED,10 - Machine tool,,ALS-065-G-20B-35B,15,INR,1828,1302,2202,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/12/21,OUT,ACE MANUFACTURING SYSTEMS LIMITED,10 - Machine tool,,ALS-065-G-20B-35B,15,INR,1828,1302,2202,MPIN,OUT,,
MPIN,2,'2021/12/29,'2022/01/28,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-010DA2-PILOT BORE DIA 2 (JINDAL),1500,INR,49.5,46.41,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2022/01/28,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-010DA2-BW FINISHED BORE 8mm,1500,INR,66,61.41,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2022/01/28,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB SFC-020DA2-BW FINISHED BORE 7mm,1000,INR,60.75,55.8,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2022/01/28,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB SFC-020DA2-BW FINISHED BORE 8mm,1000,INR,60.75,55.8,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2022/01/28,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-030DA2-BW PILOT BORE DIA 4 (JINDAL),1000,INR,61.5,53.48,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2022/01/28,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-030DA2-BW FINISHED BORE 10mm,1000,INR,75.75,66.48,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2022/01/28,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-030DA2-BW FINISHED BORE 14mm,1000,INR,75.75,76.92,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2022/01/28,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-040DA2-BW PILOT BORE DIA 6 (JINDAL),3000,INR,86.25,78.55,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2022/01/28,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-040DA2-BW PILOT BORE DIA 13(JINDAL),3000,INR,86.25,90.75,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2022/01/28,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-040DA2-BW FINISHED BORE 12mm,1000,INR,96.75,88.55,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2022/01/28,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-040DA2-BW FINISHED BORE 14mm,1000,INR,96.75,88.55,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2022/01/28,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-040DA2-BW FINISHED BORE 19MM,1000,INR,96.75,101.01,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2022/01/28,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-040DA2-BW FINISHED BORE 16mm,1000,INR,96.75,101.01,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2022/01/28,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB A SFC-050DA2-BW PILOT BORE DIA 6 (JINDAL),500,INR,133.5,149.49,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2022/01/28,IN,MIKI PULLEY (TIANJIN) CO. LTD.,98 - Miki Group Company,,CLAMPING HUB B SFC-050DA2-BW PILOT BORE DIA 17 (JINDAL),300,INR,133.5,119.01,2301,MPIN,OUT,,
MPIN,2,'2021/12/29,'2021/12/25,OUT,SVP TECHNO ENGINEERS PVT. LTD.,80 - Trading Company,,SFF-120DS-40K-50K-600N,5,INR,15903,9463,2302,MPJP,IN,,13 - Factory Automation
MPIN,2,'2021/12/29,'2021/12/25,OUT,SVP TECHNO ENGINEERS PVT. LTD.,80 - Trading Company,,SFF-140DS-50K-75K-1000N,2,INR,19978,12337,2302,MPJP,IN,,13 - Factory Automation
