Code,Group,Date,Invoice Date,ETD,ANA-4,Customer Code,Customer Group4(Industry Code)(Sub-Ledger),Item Code,Item Name,Qty,Currency,Price.,Exchange Rate,Amount (Transaction) (HKD),Cost(HKD),Group 5(Item),ANA-2,Location,Spec. Customer (Transaction),Industry Code (Transaction),
MPHK,1,20220107,,20220125,OUT,SEIMITSU-C,8000,125945300,SFC-025DA2-8BH-8BH,10,USD,46.6000 ,7.8000000 ,"3,634.80",,2301,MPJP,IN,NUTEK,1100,
MPHK,1,20220107,,20220119,OUT,SEIMITSU-C,8000,800000682,ALS-030ARN-8BHA-14BHA,36,USD,9.3000 ,7.8000000 ,"2,611.44",,2202,MPTJ,OUT,VISDYNAMICS,1100,
MPHK,1,20220107,,20220119,OUT,SEIMITSU-C,8000,800000676,ALS-030ARN-8BHA-10BHA,11,USD,9.3000 ,7.8000000 ,797.94,,2202,MPTJ,OUT,,,
MPHK,1,20220107,,20220119,OUT,SEIMITSU-C,8000,800000681,ALS-030ARN-6BHA-10BHA,34,USD,9.3000 ,7.8000000 ,"2,466.36",,2202,MPTJ,OUT,,,
MPHK,1,20220107,,20220117,OUT,HIMALAYA-C,8000,100042100,AP-86-MA-14 With Adapter,2,USD,50.0000 ,7.8000000 ,780.00,,3101,MPTJ,OUT,,,
MPHK,1,20220107,,20220228,OUT,SINGHUAT-C,8000,103629900,125-20-12-A-11,2,USD,"1,052.6000 ",7.8000000 ,"16,420.56",,1302,MPJP,IN,,,
MPHK,1,20220107,,20220228,OUT,SINGHUAT-C,8000,123909800,BXW-03-10S-24V-8,20,USD,21.1000 ,7.8000000 ,"3,291.60",,1201,MPJP,IN,,,
MPHK,1,20220107,,20220228,OUT,SINGHUAT-C,8000,123149600,PSL-K-8,30,USD,15.0000 ,7.8000000 ,"3,510.00",,2602,MPJP,IN,,,
MPHK,1,20220107,,20220228,OUT,SINGHUAT-C,8000,125279300,BEH-20G,2,USD,368.9000 ,7.8000000 ,"5,754.84",,1901,MPJP,IN,,,
MPHK,1,20220107,,20220228,OUT,SINGHUAT-C,8000,104681900,SFS-10G,5,USD,131.6000 ,7.8000000 ,"5,132.40",,2302,MPJP,IN,,,
MPHK,1,20220107,,20220228,OUT,SINGHUAT-C,8000,071082200,AL-095,10,USD,7.9000 ,7.8000000 ,616.20,,2201,MPJP,IN,,,
MPHK,1,20220107,,20220228,OUT,SINGHUAT-C,8000,071085200,AL-110,2,USD,27.5000 ,7.8000000 ,429.00,,2201,MPJP,IN,,,
MPHK,1,20220107,,20220117,OUT,HIMALAYA-C,8000,911299602,P-164-MA-24 With Adapter,2,USD,113.6000 ,7.8000000 ,"1,772.16",,3101,MPTJ,OUT,,,
MPHK,1,20220107,,20220120,OUT,SINGHUAT-C,8000,123512100,125-08-12EG,2,USD,153.3000 ,7.8000000 ,"2,391.48",,1302,MPTJ,OUT,,,
MPHK,1,20220107,,20220120,OUT,SINGHUAT-C,8000,122287700,101-10-13G 24V 20JIS,8,USD,39.7000 ,7.8000000 ,"2,477.28",,1301,MPTJ,OUT,,,
MPHK,1,20220107,,20220120,OUT,SINGHUAT-C,8000,123150200,PSL-K-12.7,40,USD,8.1000 ,7.8000000 ,"2,527.20",,2602,MPTJ,OUT,,,
MPHK,1,20220107,,20220117,OUT,HIMALAYA-C,8000,123512100,125-08-12EG,10,USD,170.3000 ,7.8000000 ,"13,283.40",,1302,MPTJ,OUT,,,
MPHK,1,20220107,,20220120,OUT,SINGHUAT-C,8000,122287700,101-10-13G 24V 20JIS,10,USD,39.7000 ,7.8000000 ,"3,096.60",,1301,MPTJ,OUT,PANASONIC_M,1100,
