据点ID,区分,出货日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C,ID
MPSH,3,20220107,20211020,OUT,ACE,8000,,SFF-100DS-38KK-38KK,9,RMB,458,,2302,MPTJ,OUT,青岛高测,1010,1
MPSH,3,20220107,20211103,OUT,ACE,8000,,SFF-100DS-38KK-38KK,50,RMB,458,,2302,MPTJ,OUT,青岛高测,1010,2
MPSH,3,20220107,20211215,OUT,ACE,8000,,SFF-100DS-38KK-42KK,50,RMB,458,,2302,MPTJ,OUT,青岛高测,1010,3
MPSH,3,20220107,20211215,OUT,ACE,8000,127343300,SFC-060DA2-28B-35B,300,RMB,171,,2301,MPTJ,OUT,江苏厚道,1030,4
MPSH,3,20220107,20211215,OUT,ACE,8000,,ALS-065ARN-25BHA-35BHA,300,RMB,114,,2202,MPTJ,OUT,宁波海天,1010,5
MPSH,3,20220107,20211215,OUT,ACE,8000,,SFC-060DA2-24B-24K L=65,100,RMB,381,,2301,MPTJ,OUT,,,6
MPSH,3,20220107,20211229,OUT,ACE,8000,,ALS-065ARN-24BHA-25BHA,150,RMB,114,,2202,MPTJ,OUT,宁波海天,1010,7
MPSH,3,20220107,20211229,OUT,ACE,8000,123020900,SFC-090SA2-35B-35B,50,RMB,246,,2301,MPTJ,OUT,杭州友佳,1010,8
MPSH,3,20220107,20220105,OUT,ACE,8000,,101-06-15N 24V R12DIN A12DIN,1,RMB,215,,1301,MPTJ,OUT,,,9
MPSH,3,20220107,20220105,OUT,ACE,8000,,111-12-13N 24V,1,RMB,201,,1301,MPTJ,OUT,,,10
MPSH,3,20220107,20220105,OUT,ACE,8000,,PE-124-MAT-15H,1,RMB,215,,3101,MPTJ,OUT,,,11
MPSH,3,20220107,20220105,OUT,ACE,8000,,SFF-070SS-24KK-35KS,2,RMB,305,,2302,MPTJ,OUT,,,12
MPSH,3,20220107,20220105,OUT,ACE,8000,,SFC-050DA2-19B-22K,2,RMB,225,,2301,MPTJ,OUT,,,13
MPSH,3,20220107,20220105,OUT,ACE,8000,,101-12-13N 24V 25JIS,1,RMB,267,,1301,MPTJ,OUT,,,14
MPSH,3,20220107,20220105,OUT,ACE,8000,,111-12-11N 24V 25JIS,1,RMB,247,,1301,MPTJ,OUT,,,15
MPSH,3,20220107,20220105,OUT,ACE,8000,123132400,SFC-035DA2-9.525B-15B,15,RMB,141,,2301,MPTJ,OUT,,,16
MPSH,3,20220107,20220105,OUT,ACE,8000,,ALS-055ARN-19BHA-20BHA,21,RMB,99,,2202,MPTJ,OUT,江苏匠准,9099,17
MPSH,3,20220107,20220105,OUT,ACE,8000,,SFF-090SS-38KK-40K,1,RMB,341,,2302,MPTJ,OUT,宁波海天,1010,18
MPSH,3,20220107,20220105,OUT,ACE,8000,,AK-124-MAT-14K,5,RMB,274,,3101,MPTJ,OUT,,,19
MPSH,3,20220107,20220105,OUT,ACE,8000,,PE-124-MAT-15K,5,RMB,215,,3101,MPTJ,OUT,,,20
MPSH,3,20220107,20220105,OUT,ACE,8000,121776100,SFC-010DA2-5B-8B,50,RMB,93,,2301,MPTJ,OUT,上海天旋,1190,21
MPSH,3,20220107,20220105,OUT,ACE,8000,,CS-08-33N 24V 15DIN,1,RMB,222,,1301,MPTJ,OUT,,,22
MPSH,3,20220107,20220105,OUT,ACE,8000,,111-08-11N 24V 15DIN,1,RMB,140,,1301,MPTJ,OUT,,,23
MPSH,3,20220107,20220105,OUT,ACE,8000,,111-12-11N 24V 25DIN,1,RMB,247,,1301,MPTJ,OUT,,,24
MPSH,3,20220107,20220105,OUT,ACE,8000,,CS-12-33N 24V 25DIN,1,RMB,344,,1301,MPTJ,OUT,,,25
MPSH,3,20220107,20220105,OUT,ACE,8000,,SFC-050DA2-T348,100,RMB,218,,2301,MPTJ,OUT,立达常州纺织,2310,26
MPSH,3,20220107,20220105,OUT,ACE,8000,,ALS-040ARN-14BHA-15BHA,6,RMB,71,,2202,MPTJ,OUT,,,27
MPSH,3,20220107,20220105,OUT,ACE,8000,,AK-185-MAT-28N,10,RMB,470,,3101,MPTJ,OUT,,,28
MPSH,3,20220107,20220105,OUT,ACE,8000,121766200,SFC-050DA2-24B-24B,10,RMB,225,,2301,MPTJ,OUT,,,29
MPSH,3,20220107,20220105,OUT,ACE,8000,,P-106-MA-19（28KG弹簧）,42,RMB,150,,3101,MPTJ,OUT,上海焱德,1810,30
MPSH,3,20220107,20220105,OUT,ACE,8000,,SFC-080SA2-T224,10,RMB,231,,2301,MPTJ,OUT,杭州友佳,1010,31
MPSH,3,20220107,20220105,OUT,ACE,8000,123020900,SFC-090SA2-35B-35B,1,RMB,246,,2301,MPTJ,OUT,杭州友佳,1010,32
MPSH,3,20220107,20220105,OUT,ACE,8000,,ALS-040ARN-14BHA-20BHA,3,RMB,71,,2202,MPTJ,OUT,,,33
MPSH,3,20220107,20220105,OUT,ACE,8000,,SFC-040DA2-19BH-20BH,3,RMB,181,,2301,MPTJ,OUT,,,34
MPSH,3,20220107,20220105,OUT,ACE,8000,,101-06-13N 24V 15JIS,10,RMB,130,,1301,MPTJ,OUT,,,35
MPSH,3,20220107,20220105,OUT,ACE,8000,,ALS-065ARN-25BHA-32BHA,2,RMB,143,,2202,MPTJ,OUT,,,36
MPSH,3,20220107,20220105,OUT,ACE,8000,129024300,SFC-035DA2-12B-19B,50,RMB,99,,2301,MPTJ,OUT,济南金威刻,1030,37
MPSH,3,20220107,20220105,OUT,ACE,8000,123026000,SFC-100SA2-35B-40B,1,RMB,364,,2301,MPTJ,OUT,,,38
MPSH,3,20220107,20220105,OUT,ACE,8000,123003700,SFC-080DA2-32B-35B,8,RMB,333,,2301,MPTJ,OUT,,,39
MPSH,3,20220107,20220105,OUT,ACE,8000,123007200,SFC-080SA2-25B-32B,8,RMB,285,,2301,MPTJ,OUT,,,40
MPSH,3,20220107,20220105,OUT,ACE,8000,,ALS-055ARN-20BHA-22BHA,3,RMB,96,,2202,MPTJ,OUT,青岛高测,1010,41
MPSH,3,20220107,20220105,OUT,ACE,8000,,ALS-055ARN-19BHA-26BHA,1,RMB,106,,2202,MPTJ,OUT,,,42
MPSH,3,20220107,20220105,OUT,ACE,8000,,ALS-030ARN-8BHA-12BHA,2,RMB,55,,2202,MPTJ,OUT,,,43
MPSH,3,20220107,20220105,OUT,ACE,8000,121931900,SFC-050SA2-19B-25B,48,RMB,167,,2301,MPTJ,OUT,,,44
MPSH,3,20220107,20220105,OUT,ACE,8000,121913400,SFC-060SA2-24B-25B,48,RMB,258,,2301,MPTJ,OUT,,,45
MPSH,3,20220107,20220105,OUT,ACE,8000,123019800,SFC-090SA2-30B-32B,24,RMB,333,,2301,MPTJ,OUT,,,46
MPSH,3,20220107,20220105,OUT,ACE,8000,121765900,SFC-040SA2-14B-15B,10,RMB,118,,2301,MPTJ,OUT,,,47
MPSH,3,20220107,20220105,OUT,ACE,8000,,PE-185-MAT-22K,20,RMB,270,,3101,MPTJ,OUT,富豪木工,9003,48
MPSH,3,20220107,20220105,OUT,ACE,8000,123008100,SFC-080SA2-32B-32B,1,RMB,264,,2301,MPTJ,OUT,,,49
MPSH,3,20220107,20220105,OUT,ACE,8000,121349200,SFC-020SA2-8B-8B,4,RMB,85,,2301,MPTJ,OUT,,,50
MPSH,3,20220107,20220105,OUT,ACE,8000,121436900,SFC-030SA2-8B-8B,6,RMB,97,,2301,MPTJ,OUT,,,51
MPSH,3,20220107,20220105,OUT,ACE,8000,122014800,SFC-050SA2-25B-25B,4,RMB,167,,2301,MPTJ,OUT,,,52
MPSH,3,20220107,20220105,OUT,ACE,8000,121724700,SFC-040DA2-10B-14B,4,RMB,160,,2301,MPTJ,OUT,,,53
MPSH,3,20220107,20220105,OUT,ACE,8000,121843400,SFC-040SA2-8B-14B,4,RMB,118,,2301,MPTJ,OUT,,,54
MPSH,3,20220107,20220105,OUT,ACE,8000,121568100,SFC-030SA2-6B-10B,3,RMB,97,,2301,MPTJ,OUT,,,55
MPSH,3,20220107,20220105,OUT,ACE,8000,121727700,SFC-035SA2-8B-14B,10,RMB,102,,2301,MPTJ,OUT,,,56
MPSH,3,20220107,20220105,OUT,ACE,8000,123007200,SFC-080SA2-25B-32B,2,RMB,285,,2301,MPTJ,OUT,,,57
MPSH,3,20220107,20220112,OUT,ACE,8000,,125-08-12N,30,RMB,799,,1302,MPTJ,OUT,阳政精机,1810,58
MPSH,3,20220107,20220106,OUT,TOYO AUTOMATION,8000,121461600,SFC-030SA2-10B-14B,2000,RMB,37.0973,,2301,MPTJ,OUT,东佑达,1210,59
MPSH,3,20220107,20220106,OUT,TOYO AUTOMATION,8000,121347500,SFC-040SA2-12B-16B,10,RMB,41.593,,2301,MPTJ,OUT,东佑达,1210,60
MPSH,3,20220107,20220106,OUT,TOYO AUTOMATION,8000,121700300,SFC-030DA2-10B-10B,10,RMB,67.097,,2301,MPTJ,OUT,东佑达,1210,61
MPSH,3,20220107,20220106,OUT,TOYO AUTOMATION,8000,125720500,SFC-030SA2-10B-16B,5,RMB,37.098,,2301,MPTJ,OUT,东佑达,1210,62
MPSH,3,20220107,20220106,OUT,TOYO AUTOMATION,8000,121731700,SFC-050SA2-16B-17B,3,RMB,93,,2301,MPTJ,OUT,东佑达,1210,63
MPSH,3,20220107,20220106,OUT,TOYO AUTOMATION,8000,121880300,SFC-020SA2-6B-7B,20,RMB,34.5045,,2301,MPTJ,OUT,东佑达,1210,64
MPSH,3,20220107,20220106,OUT,TOYO AUTOMATION,8000,121292700,SFC-010DA2-8B-8B,40,RMB,66,,2301,MPTJ,OUT,东佑达,1210,65
MPSH,3,20220107,20220106,OUT,TSUGAMI,1000,123005400,SFC-080SA2-20B-35B,6,RMB,356,,2301,MPTJ,OUT,津上精密,1090,66
MPSH,3,20220107,20220106,OUT,TSUGAMI,1000,122565700,SFC-060SA2-18B-16BC,6,RMB,385,,2301,MPTJ,OUT,津上精密,1090,67
MPSH,3,20220107,20220106,OUT,TSUGAMI,1000,121931700,SFC-050SA2-19B-19B,6,RMB,179,,2301,MPTJ,OUT,津上精密,1090,68
MPSH,3,20220107,20220106,OUT,TSUGAMI,1000,121937300,SFC-050SA2-18B-16BC,6,RMB,273,,2301,MPTJ,OUT,津上精密,1090,69
MPSH,3,20220107,20220106,OUT,MISUMI,8000,121851600,SFC-050SA2-16B-16B,4,RMB,168.38,,2301,MPTJ,OUT,米思米,8020,70
MPSH,3,20220107,20220106,OUT,NICHIDEN,8000,121386100,SFC-030DA2-8B-14B,10,RMB,151,,2301,MPTJ,OUT,嘉睦电子,0190,71
MPSH,3,20220107,20220106,OUT,NICHIDEN,8000,122557200,SFC-010DA2-4.5B-6B,10,RMB,132,,2301,MPTJ,OUT,丝路咖,1130,72
MPSH,3,20220107,20220106,OUT,YAMAZEN-SH,8000,121769800,SFC-050SA2-16B-24B,100,RMB,129,,2301,MPTJ,OUT,西铁城,1090,73
MPSH,3,20220107,20220106,OUT,BITPASS,8000,121827100,SFC-035SA2-10B-12B,1,RMB,48,,2301,MPTJ,OUT,昆山杰士德,1190,74
MPSH,3,20220107,20220106,OUT,BITPASS,8000,121937800,SFC-050DA2-24B-25B,2,RMB,101,,2301,MPTJ,OUT,昆山杰士德,1190,75
MPSH,3,20220107,20220106,OUT,BITPASS,8000,122029900,SFC-050DA2-17B-24B,1,RMB,101,,2301,MPTJ,OUT,昆山杰士德,1190,76
MPSH,3,20220107,20220106,OUT,BITPASS,8000,121716700,SFC-060SA2-20B-24B,2,RMB,135,,2301,MPTJ,OUT,苏州迈为,1190,77
MPSH,3,20220107,20220106,OUT,BITPASS,8000,121862200,SFC-035DA2-15B-15B,10,RMB,67,,2301,MPTJ,OUT,苏州迈为,1190,78
MPSH,3,20220107,20220106,OUT,BITPASS,8000,121817600,SFC-035DA2-12B-16B,1,RMB,67,,2301,MPTJ,OUT,苏州迈为,1190,79
MPSH,3,20220107,20220104,OUT,LEINIER,0100,121375500,SFC-020DA2-6B-8B,40,RMB,88,,2301,MPTJ,OUT,南京协辰,1190,80
MPSH,3,20220107,20220106,OUT,SHINMAYWA,1900,121375500,SFC-020DA2-6B-8B,10,RMB,148,,2301,MPTJ,OUT,新明和,9099,81
MPSH,3,20220107,20220106,OUT,SHINMAYWA,1900,121903500,SFC-040DA2-8B-19B,20,RMB,200,,2301,MPTJ,OUT,新明和,9099,82
MPSH,3,20220107,20220106,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,83
MPSH,3,20220107,20220106,OUT,SHINMAYWA,1900,121366200,SFC-050DA2-16B-19B,20,RMB,293,,2301,MPTJ,OUT,新明和,9099,84
MPSH,3,20220107,20220104,OUT,LEINIER,0100,121276700,SFC-035DA2-10B-14B,40,RMB,108,,2301,MPTJ,OUT,南京协辰,1190,85
MPSH,3,20220107,20220104,OUT,LEINIER,0100,121487700,SFC-035SA2-10B-14B,40,RMB,82,,2301,MPTJ,OUT,南京协辰,1190,86
MPSH,3,20220107,20220104,OUT,LEINIER,0100,,SFC-035SA2-12B-19BH,40,RMB,113,,2301,MPTJ,OUT,南京协辰,1190,87
MPSH,3,20220107,20220106,OUT,FTS-SHENZHENG,8000,121829400,SFC-035DA2-10B-16B,2,RMB,120,,2301,MPTJ,OUT,深圳易天,1190,88
MPSH,3,20220107,20220106,OUT,FTS-SHENZHENG,8000,122029900,SFC-050DA2-17B-24B,3,RMB,191,,2301,MPTJ,OUT,深圳易天,1190,89
MPSH,3,20220107,20220106,OUT,FTS-SHENZHENG,8000,,SFC-050SA2-15B-16BH,10,RMB,209,,2301,MPTJ,OUT,深圳易天,1190,90
MPSH,3,20220107,20220106,OUT,FTS-SHENZHENG,8000,125841300,SFC-025SA2-10B-14B,2,RMB,80,,2301,MPTJ,OUT,深圳易天,1190,91
MPSH,3,20220107,20220106,OUT,FTS-SHENZHENG,8000,121605000,SFC-040DA2-12B-16B,4,RMB,136,,2301,MPTJ,OUT,深圳易天,1190,92
MPSH,3,20220107,20220106,OUT,FTS-SHENZHENG,8000,122731000,SFC-040DA2-17B-19B,4,RMB,136,,2301,MPTJ,OUT,深圳易天,1190,93
MPSH,3,20220107,20220106,OUT,FTS-SHENZHENG,8000,121845400,SFC-040SA2-10B-16B,2,RMB,103,,2301,MPTJ,OUT,深圳易天,1190,94
MPSH,3,20220107,20220106,OUT,FTS-SHENZHENG,8000,124758900,SFC-050DA2-20BH-22BH,2,RMB,265,,2301,MPTJ,OUT,深圳易天,1190,95
MPSH,3,20220107,20220106,OUT,FTS-SHENZHENG,8000,126636100,SFC-040SA2-16B-20B,3,RMB,103,,2301,MPTJ,OUT,深圳易天,1190,96
MPSH,3,20220107,20220106,OUT,FTS-SHENZHENG,8000,121386100,SFC-030DA2-8B-14B,2,RMB,107,,2301,MPTJ,OUT,深圳易天,1190,97
MPSH,3,20220107,20220106,OUT,FTS-SHENZHENG,8000,121603600,SFC-050SA2-16B-20B,7,RMB,142,,2301,MPTJ,OUT,深圳易天,1190,98
MPSH,3,20220107,20220106,OUT,FTS-SHENZHENG,8000,121727700,SFC-035SA2-8B-14B,4,RMB,87,,2301,MPTJ,OUT,深圳易天,1190,99
MPSH,3,20220107,20220106,OUT,FTS-SHENZHENG,8000,121729200,SFC-050DA2-17B-19B,2,RMB,191,,2301,MPTJ,OUT,深圳易天,1190,100
