据点ID,区分,受注日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,注残数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C,ID
MPSH,2,20211228,20210720,OUT,POLYSTAR,1900,,QC05B,20,RMB,126.5487,,3302,其他,OUT,包利思特,1910,692
MPSH,2,20211228,20210730,OUT,POLYSTAR,1900,,QC05B,10,RMB,126.5487,,3302,其他,OUT,包利思特,1910,693
MPSH,2,20211228,20210730,OUT,POLYSTAR,1900,,QC05B,1,RMB,126.5487,,3302,其他,OUT,包利思特,1910,694
MPSH,2,20211228,20211120,OUT,POLYSTAR,1900,,QC05B,10,RMB,126.5487,,3302,其他,OUT,包利思特,1910,695
MPSH,2,20211228,20220430,OUT,POLYSTAR,1900,,QC05B,20,RMB,126.5487,,3302,其他,OUT,包利思特,9099,696
MPSH,2,20211228,20220105,OUT,YACHIYO,8000,121873300,SFC-060DA2-24B-25B,1,RMB,397,,2301,MPTJ,OUT,武汉牧野,1030,697
MPSH,2,20211228,20220125,OUT,MISUMI,8000,121454900,SFC-020DA2-8B-8B,12,RMB,121.37,,2301,MPTJ,OUT,米思米,8020,698
MPSH,2,20211228,20211229,OUT,MISUMI,8000,121454900,SFC-020DA2-8B-8B,1,RMB,121.37,,2301,MPTJ,OUT,米思米,8020,699
MPSH,2,20211228,20220207,OUT,MISUMI,8000,121454900,SFC-020DA2-8B-8B,4,RMB,121.37,,2301,MPTJ,OUT,米思米,8020,700
MPSH,2,20211228,20220114,OUT,MISUMI,8000,122769000,ALS-055-R,1,RMB,112.86,,2202,MPTJ,OUT,米思米,8020,701
MPSH,2,20211228,20220221,OUT,MISUMI,8000,121454900,SFC-020DA2-8B-8B,6,RMB,121.37,,2301,MPTJ,OUT,米思米,8020,702
MPSH,2,20211228,20211101,OUT,YAMAZEN-SH,8000,124030000,SFC-050SA2-16B-11BC,100,RMB,212,,2301,MPTJ,OUT,西铁城,1090,703
MPSH,2,20211228,20220105,OUT,YAMAZEN-SH,8000,124030000,SFC-050SA2-16B-11BC,100,RMB,212,,2301,MPTJ,OUT,西铁城,1090,704
MPSH,2,20211228,20220216,OUT,YAMAZEN-SH,8000,124030000,SFC-050SA2-16B-11BC,180,RMB,212,,2301,MPTJ,OUT,西铁城,1090,705
MPSH,2,20211228,20220201,OUT,YAMAZEN-SH,8000,124030000,SFC-050SA2-16B-11BC,320,RMB,212,,2301,MPTJ,OUT,西铁城,1090,706
MPSH,2,20211228,20220329,OUT,YAMAZEN-SH,8000,124030000,SFC-050SA2-16B-11BC,200,RMB,212,,2301,MPTJ,OUT,西铁城,1090,707
MPSH,2,20211228,20220428,OUT,YAMAZEN-SH,8000,124030000,SFC-050SA2-16B-11BC,200,RMB,212,,2301,MPTJ,OUT,西铁城,1090,708
MPSH,2,20211228,20211230,OUT,CHANGZHOU LEINIER,8000,,111-08-13N 24V,15,RMB,121,,1301,MPTJ,OUT,钰邦电子,1190,709
MPSH,2,20211228,20220228,OUT,YAMAZEN-SH,8000,123636800,BXW-02-10S-24V-7,1,RMB,204,,1201,MPJP,IN,上海岛津,1510,710
MPSH,2,20211228,20220106,OUT,FTS-SHENZHENG,8000,124758900,SFC-050DA2-20BH-22BH,2,RMB,265,,2301,MPTJ,OUT,深圳易天,1190,711
MPSH,2,20211228,20220106,OUT,FTS-SHENZHENG,8000,121603600,SFC-050SA2-16B-20B,7,RMB,142,,2301,MPTJ,OUT,深圳易天,1190,712
