据点ID,区分,受注日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,受注数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C,ID
MPSH,1,20211229,20220222,OUT,BITPASS,8000,122648200,121-08-10G,10,RMB,1600,,1302,MPJP,IN,南京晶升,2190,1
MPSH,1,20211229,20220104,OUT,BITPASS,8000,121845600,SFC-040SA2-10B-19B,1,RMB,53,,2301,MPTJ,OUT,上海联泰,1190,2
MPSH,1,20211229,20211230,OUT,BITPASS,8000,,ALS-030ABN-10BHA-12BHA,1,RMB,42,,2202,MPTJ,OUT,苏州迈为,1190,3
MPSH,1,20211229,20220104,OUT,BITPASS,8000,121875800,SFC-060DA2-18B-20B,4,RMB,159,,2301,MPTJ,OUT,上海联泰,1190,4
MPSH,1,20211229,20220106,OUT,BITPASS,8000,121827100,SFC-035SA2-10B-12B,1,RMB,48,,2301,MPTJ,OUT,昆山杰士德,1190,5
MPSH,1,20211229,20220118,OUT,BITPASS,8000,121943900,SFC-050DA2-10B-19B,10,RMB,101,,2301,MPTJ,OUT,昆山杰士德,1190,6
MPSH,1,20211229,20220106,OUT,BITPASS,8000,121937800,SFC-050DA2-24B-25B,2,RMB,101,,2301,MPTJ,OUT,昆山杰士德,1190,7
MPSH,1,20211229,20220106,OUT,BITPASS,8000,122029900,SFC-050DA2-17B-24B,1,RMB,101,,2301,MPTJ,OUT,昆山杰士德,1190,8
MPSH,1,20211229,20220118,OUT,BITPASS,8000,,SFC-035DA2-10B-14K,10,RMB,141,,2301,MPTJ,OUT,江苏亚威,1090,9
MPSH,1,20211229,20220215,OUT,BITPASS,8000,103153400,CSZ-08-35,20,RMB,1293,,1301,MPJP,IN,斯图加特,1290,10
MPSH,1,20211229,20220121,OUT,SG GEAR MOTOR,0100,126953000,BXL-12-10N-05,12,RMB,333,,1401,MPTJ,OUT,史克马,0140,11
MPSH,1,20211229,20220121,OUT,SG GEAR MOTOR,0100,126950700,BXL-16-10N-12,12,RMB,494,,1401,MPTJ,OUT,史克马,0140,12
MPSH,1,20211229,20220104,OUT,YONGFUWANG-SHENZHENG,8000,121461600,SFC-030SA2-10B-14B,10,RMB,112,,2301,MPTJ,OUT,裕尚,9099,13
MPSH,1,20211229,20220104,OUT,YONGFUWANG-SHENZHENG,8000,122014200,SFC-020SA2-6.35B-10B,10,RMB,98,,2301,MPTJ,OUT,捷控,1410,14
MPSH,1,20211229,20220105,OUT,TIANJIN AOXIANG,8000,,CS-10-33N 24V 20DIN,1,RMB,266,,1301,MPTJ,OUT,北京奥瑞金,9092,15
MPSH,1,20211229,20220208,OUT,MISUMI,8000,121847600,SFC-060SA2-22B-24B,11,RMB,257.26,,2301,MPTJ,OUT,米思米,8020,16
MPSH,1,20211229,20220208,OUT,MISUMI,8000,122027600,SFC-060SA2-17B-24B,2,RMB,257.26,,2301,MPTJ,OUT,米思米,8020,17
MPSH,1,20211229,20211231,,ZZYWK,8000,,SFC-050SA2-15.875B-22B,2,RMB,320,,2301,MPTJ,OUT,中冶迈克,1590,18
MPSH,1,20211229,20211230,OUT,BITPASS,8000,121732700,SFC-050DA2-14B-20B,4,RMB,101,,2301,MPTJ,OUT,苏州迈为,1190,19
MPSH,1,20211229,20211230,OUT,BITPASS,8000,121523700,SFC-040DA2-14B-19B,2,RMB,73,,2301,MPTJ,OUT,苏州迈为,1190,20
MPSH,1,20211229,20220114,OUT,YEENROBOT,8000,123008000,SFC-080SA2-30B-35B,100,RMB,270,,2301,MPTJ,OUT,上海衍恩,1090,21
MPSH,1,20211229,20220422,OUT,THK,1000,128088100,SFF-090DS-40B-40B-300N,1,RMB,1406,,2302,MPJP,IN,THK（常州）,1290,22
MPSH,1,20211229,20220422,OUT,THK,1000,127086100,SFF-060SS-16B-16B-60N,1,RMB,1007,,2302,MPJP,IN,THK（常州）,1290,23
MPSH,1,20211229,20220422,OUT,THK,1000,125392800,SFF-090SS-30K-40K,1,RMB,513,,2302,MPTJ,OUT,THK(常州）,1290,24
MPSH,1,20211229,20220422,OUT,THK,1000,,SFC-060DA2-25B-35J,1,RMB,397,,2301,MPTJ,OUT,THK(常州）,1290,25
MPSH,1,20211229,20220422,OUT,THK,1000,121831500,SFC-060SA2-30B-30B,1,RMB,310,,2301,MPTJ,OUT,THK(常州）,1290,26
MPSH,1,20211229,20220125,OUT,OKUMA,1000,123146000,PSL-G-30,8,RMB,109,,2602,MPTJ,OUT,北一大隈,1090,27
MPSH,1,20211229,20220104,OUT,OKUMA,1000,123146100,PSL-G-32,9,RMB,112,,2602,MPTJ,OUT,北一大隈,1090,28
