据点ID,区分,受注日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,受注数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C,ID
MPSH,1,20220111,20220407,OUT,STAR PRECISION,1000,,SFC-050SA2-T171,300,RMB,186,,2301,MPTJ,OUT,斯大精密,1090,1
MPSH,1,20220111,20220407,OUT,STAR PRECISION,1000,,SFC-050SA2-T171,140,RMB,186,,2301,MPTJ,OUT,斯大精密,1090,2
MPSH,1,20220111,20220308,OUT,STAR PRECISION,1000,,SFC-050SA2-T172,180,RMB,186,,2301,MPTJ,OUT,斯大精密,1090,3
MPSH,1,20220111,20220407,OUT,STAR PRECISION,1000,,SFC-050SA2-T172,370,RMB,186,,2301,MPTJ,OUT,斯大精密,1090,4
MPSH,1,20220111,20220208,OUT,STAR PRECISION,1000,,SFC-050SA2-T184,250,RMB,192,,2301,MPTJ,OUT,斯大精密,1090,5
MPSH,1,20220111,20220308,OUT,STAR PRECISION,1000,,SFC-050SA2-T184,20,RMB,192,,2301,MPTJ,OUT,斯大精密,1090,6
MPSH,1,20220111,20220208,OUT,STAR PRECISION,1000,,SFC-050SA2-T196,60,RMB,192,,2301,MPTJ,OUT,斯大精密,1090,7
MPSH,1,20220111,20220308,OUT,STAR PRECISION,1000,,SFC-050SA2-T196,20,RMB,192,,2301,MPTJ,OUT,斯大精密,1090,8
MPSH,1,20220111,20220428,OUT,NICHIDEN,8000,128747800,BXR-025-10LE-032,200,RMB,198,,1201,MPJP,IN,新友智能,9099,9
MPSH,1,20220111,20220214,OUT,YAMAZEN-SH,8000,121705500,SFC-020SA2-5B-6.35B,40,RMB,71,,2301,MPTJ,OUT,美迪亚,1610,10
MPSH,1,20220111,20220330,OUT,NICHIDEN,8000,028046100,DSCR-112 11-11,1,RMB,342,,2501,MPJP,IN,NGK苏州,2190,11
MPSH,1,20220111,20220710,,GZJUSONG,8000,125098500,SFF-070SS-25B-35BS-100N,2,RMB,1211,,2302,MPJP,IN,广州巨松,9004,12
MPSH,1,20220111,20220710,,GZJUSONG,8000,125866200,SFF-090SS-25B-35BS-250N,2,RMB,1594,,2302,MPJP,IN,广州巨松,9004,13
MPSH,1,20220111,20220304,OUT,ACE,8000,122288100,101-16-13G 24V 30JIS,5,RMB,874,,1301,MPJP,IN,,,14
MPSH,1,20220111,20220304,OUT,ACE,8000,123411900,ETP-A-15,20,RMB,253,,2601,MPJP,IN,,,15
MPSH,1,20220111,20220304,OUT,ACE,8000,105641200,ETP-A-25,20,RMB,283,,2601,MPJP,IN,东莞铭慧,1190,16
MPSH,1,20220111,20220304,OUT,ACE,8000,105642600,ETP-A-30,20,RMB,318,,2601,MPJP,IN,,,17
MPSH,1,20220111,20220304,OUT,ACE,8000,033002600,SD-53B-16R,13,RMB,81,,3107,MPJP,IN,泉州汉威,1020,18
MPSH,1,20220111,20220304,OUT,ACE,8000,129629400,SFF-120DS-35K-40K-600N,2,RMB,876,,2302,MPJP,IN,宁波海天,1010,19
MPSH,1,20220111,20220304,OUT,ACE,8000,130998900,SFF-120DS-40K-45K-600N,2,RMB,876,,2302,MPJP,IN,宁波海天,1010,20
MPSH,1,20220111,20220119,OUT,ACE,8000,,ALS-065ARN-35BHA-38BHA,1,RMB,143,,2202,MPTJ,OUT,宁波海天,1010,21
MPSH,1,20220111,20220119,OUT,ACE,8000,,ALS-065ARN-25BHA-35BHA,200,RMB,114,,2202,MPTJ,OUT,宁波海天,1010,22
MPSH,1,20220111,20220119,OUT,ACE,8000,129024300,SFC-035DA2-12B-19B,100,RMB,99,,2301,MPTJ,OUT,济南金威刻,1030,23
MPSH,1,20220111,20220119,OUT,ACE,8000,121324700,SFC-035DA2-12B-14B,50,RMB,99,,2301,MPTJ,OUT,济南金威刻,1030,24
MPSH,1,20220111,20220119,OUT,ACE,8000,121461600,SFC-030SA2-10B-14B,10,RMB,97,,2301,MPTJ,OUT,济南金威刻,1030,25
MPSH,1,20220111,20220119,OUT,ACE,8000,121666600,SFC-030SA2-8B-14B,40,RMB,97,,2301,MPTJ,OUT,,,26
