据点ID,区分,出货日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C,ID
MPSH,3,20220106,20211230,OUT,YAMAZEN-SH,8000,120666700,SFS-05S-T070AA,50,RMB,492,,2302,MPJP,IN,上海新柯隆,9099,1
MPSH,3,20220106,20211230,OUT,YAMAZEN-SH,8000,105023000,TT-1X-01-12-10-0.2NM,1,RMB,914,,3105,MPJP,IN,天津津田,9099,2
MPSH,3,20220106,20211130,OUT,YAMAZEN-SH,8000,123636800,BXW-02-10S-24V-7,9,RMB,204,,1201,MPJP,IN,上海岛津,1510,3
MPSH,3,20220106,20211203,OUT,YONGFUWANG-SHENZHENG,8000,129725700,SFC-055DA2-22B-22K,4,RMB,355,,2301,MPJP,IN,克洛诺斯,1290,4
MPSH,3,20220106,20220130,OUT,LG MAZAK,1000,130612800,SFM-100SS-T014N,2,RMB,1845,,2302,MPJP,IN,小巨人,1010,5
MPSH,3,20220106,20220130,OUT,LONGXING,8000,026051900,MM-6K 6-6,1,RMB,530,,2502,MPJP,IN,龙兴通商,9099,6
MPSH,3,20220106,20220130,OUT,LONGXING,8000,103528700,546-12-34-NF 24V 10JIS,2,RMB,3991,,1501,MPJP,IN,龙兴通商,9099,7
MPSH,3,20220106,20220130,OUT,LONGXING,8000,130042700,SFC-050SA2-16BJ-17BJ,3,RMB,585,,2301,MPJP,IN,龙兴通商,9099,8
MPSH,3,20220106,20211231,OUT,NICHIDEN,8000,127374100,DR-A-50X300-N,2,RMB,1751,,2503,MPJP,IN,丰汉电子,9099,9
MPSH,3,20220106,20211115,OUT,POLYSTAR,1900,105655300,SE-18,1,RMB,184.0708,,2503,MPJP,IN,包利思特,9099,10
MPSH,3,20220106,20220105,OUT,SHIMPO,0100,020233000,ANTI-NOISE SPRING:XS-08-10-A-20,1000,RMB,0.85,,1401,MPJP,IN,电产新宝,0140,11
MPSH,3,20220106,20211008,OUT,TSUGAMI,1000,129915300,SFM-120SS-48B-50B-600N-G2.5/10000,9,RMB,2007,,2302,MPJP,IN,津上精密,1090,12
MPSH,3,20220106,20220106,OUT,TSUGAMI,1000,128616400,SFF-060SS-T037N,5,RMB,327,,2302,MPJP,IN,津上精密,1090,13
MPSH,3,20220106,20220106,OUT,TSUGAMI,1000,126284000,SFF-070SS-32B-35BS-100N,15,RMB,417,,2302,MPJP,IN,津上精密,1090,14
MPSH,3,20220106,20220106,OUT,TSUGAMI,1000,127128000,SFF-060SS-19B-22B-60N,5,RMB,171,,2302,MPJP,IN,津上精密,1090,15
MPSH,3,20220106,20211206,OUT,TSUGAMI,1000,127259900,SFF-070SS-28B-35B-100N,16,RMB,1086,,2302,MPJP,IN,津上精密,1090,16
MPSH,3,20220106,20220107,OUT,TSUGAMI,1000,130677300,SFF-090SS-32K-35K-300N,5,RMB,635.3982,,2302,MPJP,IN,津上精密,1090,17
